ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,14.3731928000052,,0.001925400021718815,0.04258890001801774,0.04258890001801774,0.04258890001801774,0.04258890001801774,0.04258890001801774,0.04258890001801774,6.171842200012179,1,1.368562399991788,0,1.892208400007803,1,2.662509999994654,0,3.483574399986537,1,[6.144148599996697],[6.14415530001861],6.1719485000066925,6.178742999996757,6.178742999996757,6.178742999996757,14.359447399998317,Karyn,1,[8.186361000000034],[8.18637489998946],14.36224879999645,14.3731928000052,14.3731928000052,35.35693790001096,5,20.97078929998679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,35.3727646000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.35957309999503,35.3727646000043,35.3727646000043,36.35655440000119,5,0.9712617000041064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,36.37276130000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.35716870002216,36.37276130000828,36.37276130000828,37.35644850000972,5,0.9720757000031881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,37.37311960000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35706010001013,37.37311960000079,37.37311960000079,38.35593180000433,5,0.9715993000136223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35621650001849,38.372511399997165,38.372511399997165,39.35699870000826,5,0.971808800008148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,1,STR,"A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",Yuxi lunges forward attempting to force her blade through the protective plate.,Yuxi’s sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,Yuxi’s sword grazes the exterior plate. She is shot by the crossbow and is injured.,Yuxi,6,,,,,0,0,0,0,0,0,0,0,126.48513330001151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.35704810000607,39.37316909999936,55.38205200000084,55.3564721000148,55.37581650001812,55.38205200000084,90.8730729999952,90.87309080001432,90.90866939999978,92.8727257999999,93.03304260000004,93.09112870000536,93.09112870000536,93.09112870000536,93.09112870000536,93.09112870000536,93.09112870000536,93.09112870000536,93.09112870000536,93.09112870000536,98.73090570000932,98.8758031000034,104.76344440001412,104.87093170001754,107.87564660000498,107.8757969000144,108.12359170001582,108.13406000001123,108.13406000001123,108.13406000001123,108.13406000001123,110.93794740000158,1,2.792703299986897,0.0009679000067990273,110.93826940000872,110.95689820000553,126.45535140001448,126.482674400002,126.48513330001151,126.48513330001151,127.35602540001855,5,0.8587123999895994,None,127.35654020000948,127.38706710000406,133.38190659999964,133.38191670001834,133.41672150001978,133.41672150001978,139.686408700014,139.686408700014,139.54322530000354,139.68010570001206,139.686408700014,139.686408700014,140.3558910000138,5,0.6574253999860957,None,140.35640720001538,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,140.4063188,146.2404261000047,"['2', '2']","[4.859512800001539, 5.79363500000909]","[0.0009688000136520714, 0.0009318999946117401]",None,146.24083860000246,146.25586160001694,146.25586160001694,146.25586160001694,151.25558300002012,151.25558300002012,151.25558300002012,151.23913520001224,,,,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,2,INT,"In the next room, the adventurers encounter a massive stone door with intricate runes. The inscription reads, "Solve the riddle to reveal what is behind." ",Emma relies on her wit to decipher the riddle. ,"Emma correctly deciphers the riddle, causing the stone door to open smoothly. She finds a small room filled with treasure.","Emma misinterprets the riddle, instead triggering a magical flash. She takes damage.",Emma,6,,,,,0,0,0,0,0,1,1,1,151.25558300002012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.23953069999698,151.25558300002012,151.25558300002012,151.35559819999617,5,0.08835679999901913,None,151.35595680002007,151.38907460001064,157.37280149999424,157.37282550000236,157.40249480001512,157.40249480001512,163.66847450000932,163.66847450000932,163.52203370002098,163.6577866000007,163.66847450000932,163.66847450000932,164.35567869999795,5,0.6753782999876421,None,164.3560232000018,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,164.39418620002107,169.74443670001347,None,,,"['1', '1']",169.74476890001097,169.75654960001702,169.75654960001702,169.75654960001702,,,,174.75531460001366,"[4.778481499990448, 5.304483499989146]","[0.000993099994957447, 0.0009549999958835542]",,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,3,INT,"The floor is covered in a thick layer of mist. A booming voice announces, "Use your wit to navigate the mist or the mist might bite."",Yuxi decides to use her intuition to find a way through the mist.,"Yuxi cleverly observes the patterns in the mist, using her intelligence to discern a safe path and reach the other side unharmed.","Yuxi's vision is blocked by the mist, causing her to trip,  triggering a hidden trap. She suffers an injury.",Yuxi,7,,,,,0,0,0,0,0,2,2,2,174.7718351999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.75565259999712,174.7718351999938,174.7718351999938,175.35595950001152,5,0.5723195000027772,None,175.35638519999338,175.39502940000966,181.37737040000502,181.3773800000199,181.40589520000503,181.40589520000503,188.6903271000192,188.6903271000192,188.5490917999996,188.6852102999983,188.6903271000192,188.6903271000192,189.35560390001046,5,0.6539619999821298,None,189.35598590000882,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,189.39941640000325,193.50771279999753,None,,,"['1', '1']",193.5079600000172,193.52183220000006,193.52183220000006,193.52183220000006,,,,198.52176910001435,"[3.6592572999943513, 4.072377900010906]","[0.0009643000084906816, 0.0008413999748881906]",,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,4,STR,"A gigantic salamander emerges from the shadows, hungry for flesh.",Emma tries to climb on the salamander’s back. She wrestles it into a choke hold.,Emma chokes the salamander into unconsciousness. She is unharmed in the encounter.,"The salamander’s giant maw bites Emma’s arm. She takes damage, but the salamander cowers into its den.",Emma,7,,,,,0,0,0,0,0,3,3,3,198.53857810000773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.52211340001668,198.53857810000773,198.53857810000773,199.35588940000162,5,0.8055419000156689,None,199.35638890002156,199.39718560001347,205.38782800000627,205.38783809999586,205.42090940001071,205.42090940001071,212.67519259999972,212.67519259999972,212.53343559999485,212.66987050001626,212.67519259999972,212.67519259999972,213.35524330000044,5,0.6689399000024423,None,213.35557310000877,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,213.40599170001224,217.00554030001513,"['2', '2']","[3.1988544999912847, 3.5637919000000693]","[0.0010881999915000051, 0.0008486000006087124]",None,217.00580199999968,217.02095020000706,217.02095020000706,217.02095020000706,222.02175220000208,222.02175220000208,222.02175220000208,222.00509980000788,,,,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,5,INT,The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,Emma attempts to rely on her intellect to solve the puzzle of the magical symbols.,Emma correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,Emma repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from her pack to the tar-like substance.,Emma,8,,,,,0,0,0,0,0,4,4,4,222.02175220000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.00554860002012,222.02175220000208,222.02175220000208,222.355369900004,5,0.32341430001542903,None,222.355741700012,222.4028467000171,228.39942770000198,228.39943809999386,228.42179079999914,228.42179079999914,236.69293940000352,236.69293940000352,236.55042610000237,236.68656540001393,236.69293940000352,236.69293940000352,237.355607400008,5,0.6527899999928195,None,237.3561231000058,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,237.41651169999386,243.22158620000118,None,,,"['1', '1']",243.22183200001018,243.23740509999334,243.23740509999334,243.23740509999334,248.23825570000918,248.23825570000918,248.23825570000918,248.22189489999437,"[5.1241088999959175, 5.752238399989437]","[0.0009785000002011657, 0.0008931999909691513]",,,,,,,,,RBDCW007_Run1,RBDCW007_Run1,2024-04-04_14h02.49.775,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84884575033453,2024-04-04 14h09.14.205463 -0400,
