ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions_Text.stopped,Instructions.stopped,Delay.started,movie.started,movie.stopped,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Encounter_intro.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,22.49175810000088,,0.0018199999994976679,0.040919200000644196,0.040919200000644196,0.040919200000644196,0.040919200000644196,0.040919200000644196,0.040919200000644196,18.73716450000029,0,13.327526200000648,0,13.603803299998617,0,16.671069399999396,1,17.377369300000282,1,[18.710323000001154],[18.710327200000393],18.737333500001114,18.7440471000009,18.7440471000009,18.7440471000009,22.475114300001223,Chase,1,[3.7367749999993976],[3.7367828999995254],22.475755100000242,22.49175810000088,22.49175810000088,36.55901420000009,5,14.064137400000618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,36.575218199999654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55985250000049,36.575218199999654,36.575218199999654,37.559020200000305,5,0.9811540999999124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,37.57513430000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5596329,37.57513430000108,37.57513430000108,38.55885620000117,5,0.9809890999986237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,38.57522489999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.55940410000039,38.57522489999974,38.57522489999974,39.559992200000124,5,0.9809463000001415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.56067389999953,39.5754694999996,39.5754694999996,40.55895100000089,5,0.98067489999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Spencer tries to shake the tree with all his might.,Spencer's efforts make several of the fruit fall. He will be able to sell these back in the village.,Spencer does not manage to shake any of the fruit loose. He hurts his shoulder in the process.,Spencer,6,,,,,0,0,0,0,0,0,0,0,127.21862450000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5589815000003,40.574899400000504,56.57640689999971,56.55882890000066,56.56662049999977,56.57640689999971,92.07540909999989,92.05946240000048,92.05948300000091,92.07540909999989,94.38134770000033,94.19604600000093,94.33159560000058,94.38134770000033,94.38134770000033,94.38134770000033,94.38134770000033,94.38134770000033,94.38134770000033,94.38134770000033,94.38134770000033,94.38134770000033,100.04037260000041,100.06599649999953,106.07346540000071,106.09108659999947,109.0628969999998,109.30189000000064,109.32626680000067,109.32626680000067,109.32626680000067,109.32626680000067,111.69025610000062,1,2.353037699998822,0.00018740000086836517,111.69064960000105,111.70765990000109,127.21862450000117,127.19073340000068,127.21669110000039,127.21862450000117,127.21862450000117,127.5582744000003,5,0.3370401000011043,None,127.55884270000024,127.58159610000075,133.5741362000008,133.57414679999965,133.60643119999986,133.60643119999986,139.87347760000011,139.87347760000011,139.73150630000055,139.86704219999956,139.87347760000011,139.87347760000011,140.55792409999958,5,0.6825651999988622,None,140.55854920000093,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,140.6018770999999,144.0566159000009,"['2', '2']","[2.945746000001236, 3.4166175999998813]","[0.0009128000001510372, 0.0009328000014647841]",None,144.05704909999986,144.0701112000006,144.0701112000006,144.0701112000006,149.057308200001,,,,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Jack relies on his intelligence to parse the details of the map.,Jack successfully deciphers the map. He finds a path that avoids nearby hazards.,Jack gets confused by the worn map. He leads the duo into a quicksand pit causing them to drop some valubles.,Jack,7,,,,,0,0,0,0,0,1,1,1,149.0740325000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.05761239999993,149.0740325000006,149.0740325000006,149.55762479999976,5,0.48162649999903806,None,149.5579646999995,149.58432710000125,155.57664300000033,155.57665500000076,155.59063160000005,155.59063160000005,162.83527649999996,162.83527649999996,162.69411020000007,162.82994379999946,162.83527649999996,162.83527649999996,163.5576691999995,5,0.720380099999602,None,163.5580487999996,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,163.59182809999947,166.45869140000104,None,,,"['1', '1']",166.45902519999981,166.4748763000007,166.4748763000007,166.4748763000007,171.474045500001,"[2.4807369999998627, 2.8228455999997095]","[0.0007754999987810152, 0.0010089999996125698]",,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Spencer relies on his wit to make sense of the riddle.,Spencer solves the riddle. He is rewarded with a small silver trinket.,Spencer is unable to make sense of the riddle. He is obligated to pay the merchant.,Spencer,6,,,,,0,0,0,0,0,2,2,2,171.49036720000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.4743584000007,171.49036720000004,171.49036720000004,171.55761809999967,5,0.06569210000088788,None,171.55794679999963,171.58434560000023,177.57792830000108,177.5779394000001,177.59043220000058,177.59043220000058,183.88752190000014,183.88752190000014,183.7481110000008,183.88398120000056,183.88752190000014,183.88752190000014,184.55792409999958,5,0.6685560999994777,None,184.55836079999972,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,184.59728429999996,186.33915060000072,None,,,"['1', '1']",186.33940170000096,186.34906200000114,186.34906200000114,186.34906200000114,191.3404711000003,"[1.4032206000010774, 1.7010888000004343]","[0.0008975000000646105, 0.0009542000007058959]",,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,4,STR,A fissue connects the two sides of a valley. ,Jack tries to use his athleticism to jump across the fissure.,Jack successfully jumps the gap. He is able to secure a rope to throw back across.,Jack barely grabs on to the edge. He is able to climb up and secure a rope but is injured in the process.,Jack,6,,,,,0,0,0,0,0,3,3,3,191.35721540000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.34080530000028,191.35721540000122,191.35721540000122,191.55755710000085,5,0.19880000000011933,None,191.5578858000008,191.5818973000005,197.57623890000104,197.57624899999973,197.61415800000032,197.61415800000032,203.8835579000006,203.8835579000006,203.74181450000106,203.87718750000022,203.8835579000006,203.8835579000006,204.55730340000082,5,0.6729418000013538,None,204.55763800000022,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,204.58996710000065,207.01001610000094,None,,,"['1', '1']",207.01065850000123,207.03081229999952,207.03081229999952,207.03081229999952,212.0238862999995,"[1.9736436000002868, 2.3705391000003146]","[0.0007693000006838702, 0.0009250999992218567]",,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Jack tries to rely on his intelligence to decipher the language.,Jack is able to  decipher a set of instructions to a nearby cache. He is led to a cache of small gemstones.,Jack is unable to make sense of the language. He is left empty handed.,Jack,7,,,,,0,0,0,0,0,4,4,4,212.04042260000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0242317000011,212.04042260000097,212.04042260000097,212.55796100000043,5,0.516370299999835,None,212.5584572000007,212.58978260000004,218.57809430000088,218.57810620000055,218.61604780000016,218.61604780000016,225.90199329999996,225.90199329999996,225.76340400000117,225.89920209999946,225.90199329999996,225.90199329999996,226.5580441000002,5,0.6547614999999496,None,226.55855189999966,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,226.60270160000073,228.96496760000082,None,,,"['1', '1']",228.96521480000047,228.97575260000121,228.97575260000121,228.97575260000121,233.97330450000118,"[2.015794499999174, 2.336617099999785]","[0.0009676000008767005, None]",,,,,,,,,,,,,RBDCW005_Run2,RBDCW005_Run2,2024-04-01_14h08.07.405,AdvTask_fMRI_masculinePronouns,2023.2.2,59.918415085821856,2024-04-01 14h08.16.684439 -0400,
