ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,player_action_keys_punish.rt,player_action_keys_punish.duration,Encounter_intro.stopped,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,12.15039429999888,,0.0019779999856837094,0.04060739997657947,0.04060739997657947,0.04060739997657947,0.04060739997657947,0.04060739997657947,0.04060739997657947,4.605569599982118,1,1.6459880999755114,0,2.337342999991961,1,2.9858599999861326,0,3.8138777000131086,1,[4.578354899975238],[4.578359599981923],4.605668499978492,4.616733000002569,4.616733000002569,4.616733000002569,12.13441519998014,Karyn,1,[7.527897299994947],[7.52790190000087],12.1349324999901,12.15039429999888,12.15039429999888,36.28450629999861,5,24.133415400021477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,36.30061679999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.28545039999881,36.30061679999926,36.30061679999926,37.28479859998333,5,0.9833056999777909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,37.30104879999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.285631999984616,37.30104879999999,37.30104879999999,38.28414079998038,5,0.9827663999749348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,38.3004743999918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2846864000021,38.3004743999918,38.3004743999918,39.30109019999509,5,0.9835209000157192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.301567499991506,39.317497199983336,39.317497199983336,40.300972099998035,5,0.9664328999933787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Emma tries to shake the tree with all her might.,Emma's efforts make several of the fruit fall. She will be able to sell these back in the village.,Emma does not manage to shake any of the fruit loose. She hurts her shoulder in the process.,Emma,6,,,,,0,0,0,0,0,0,0,0,128.81363729998702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.30100809998112,40.31683070000145,56.3168659999792,56.30072889997973,56.307558799977414,56.3168659999792,91.80131199999596,91.80134029997862,91.84491809998872,93.8171863000025,93.96870219998527,94.05609199998435,94.05609199998435,94.05609199998435,94.05609199998435,94.05609199998435,94.05609199998435,94.05609199998435,94.05609199998435,94.05609199998435,99.67777479998767,99.79902529998799,105.7423553999979,105.81549109998741,108.80051529998309,108.81865390000166,108.81879959997605,109.04923629999394,109.07001259998651,109.07001259998651,109.07001259998651,109.07001259998651,113.28247529998771,1,4.19586760000675,0.0009077000140678138,113.28284030000214,113.29957139998442,128.81363729998702,128.78278229999705,128.81182249999256,128.81363729998702,128.81363729998702,129.2997931999853,5,0.47007640000083484,None,129.30017909998423,129.31603609997546,135.30034339998383,135.30036459999974,135.33039899999858,135.33039899999858,141.59717299998738,141.59717299998738,141.45240069998545,141.58791459997883,141.59717299998738,141.59717299998738,142.1167615999875,5,0.518600300012622,None,142.11735549999867,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,142.1623429999745,147.36553879998974,None,"['1', '1']","[4.799601599981543, 5.179350499995053]","[0.0009608000109437853, 0.0009616999886929989]",147.365933699999,147.3836447999929,147.3836447999929,147.3836447999929,152.38276319997385,,,,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Yuxi relies on her intelligence to parse the details of the map.,Yuxi successfully deciphers the map. She finds a path that avoids nearby hazards.,Yuxi gets confused by the worn map. She leads the duo into a quicksand pit causing them to drop some valubles.,Yuxi,7,,,,,0,0,0,0,0,1,1,1,152.3991008999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.38303169998107,152.3991008999874,152.3991008999874,153.3014758999925,5,0.8846221000130754,None,153.30165869998746,153.31585919999634,159.30237179997494,159.3023850999889,159.32096959999762,159.32096959999762,166.6085899999889,166.6085899999889,166.46612889997778,166.6016672999831,166.6085899999889,166.6085899999889,167.29924789999495,5,0.6751399000058882,None,167.2994345999905,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,167.31547229998978,170.59805410000263,None,"['1', '1']","[2.7552712000033353, 3.2451387000037357]","[None, 0.001073399995220825]",170.59831789997406,170.6105420999811,170.6105420999811,170.6105420999811,175.59940509998705,,,,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Emma relies on her wit to make sense of the riddle.,Emma solves the riddle. She is rewarded with a small silver trinket.,Emma is unable to make sense of the riddle. She is obligated to pay the merchant.,Emma,6,,,,,0,0,0,0,0,2,2,2,175.61598039997625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.59972259998904,175.61598039997625,175.61598039997625,176.30868499999633,5,0.6677222000143956,0.01988919998984784,176.308950799983,176.3171686999849,182.31695819998276,182.31697089999216,182.33244069997454,182.33244069997454,188.5569624999771,188.5569624999771,188.4180993999762,188.55438209997374,188.5569624999771,188.5569624999771,189.29939379999996,5,0.7267518000153359,None,189.29957849998027,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,189.31617179999012,192.5228201999853,"['2', '2']",None,,,192.5231538999942,192.53334769999492,192.53334769999492,192.53334769999492,197.53245859997696,"[2.646464499994181, 3.182620500010671]","[0.0009581000194884837, 0.0010102000087499619]",,,,,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,4,STR,A fissue connects the two sides of a valley. ,Yuxi tries to use her athleticism to jump across the fissure.,Yuxi successfully jumps the gap. She is able to secure a rope to throw back across.,Yuxi barely grabs on to the edge. She is able to climb up and secure a rope but is injured in the process.,Yuxi,6,,,,,0,0,0,0,0,3,3,3,197.5488280999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.53276189998724,197.5488280999998,197.5488280999998,198.30877139998483,5,0.7349027999734972,0.019870400021318346,198.3089556999912,198.31522459999542,204.30043059997843,204.30043989999103,204.3328174999915,204.3328174999915,210.56786529999226,210.56786529999226,210.4252826999873,210.56145469998592,210.56786529999226,210.56786529999226,211.30605109999306,5,0.7158213999937288,0.02003409998724237,211.30623940000078,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,211.32247409998672,215.6491141000006,"['2', '2']",None,,,215.64936280000256,215.66519979998702,215.66519979998702,215.66519979998702,220.64914219998172,"[3.8271326999820303, 4.297180900000967]","[0.0009466000192333013, 0.0008800999785307795]",204.3328174999915,220.66559719998622,220.66559719998622,220.66559719998622,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Yuxi tries to rely on her intelligence to decipher the language.,Yuxi is able to  decipher a set of instructions to a nearby cache. She is led to a cache of small gemstones.,Yuxi is unable to make sense of the language. She is left empty handed.,Yuxi,7,,,,,0,0,0,0,0,4,4,4,220.66559719998622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.64946119999513,220.66559719998622,220.66559719998622,221.41681080000126,5,0.749188799993135,0.0009719000081531703,221.4173035999993,221.4487483999983,227.43224470000132,227.43225990000064,227.4558599999873,227.4558599999873,234.7417393999931,234.7417393999931,234.59976829998777,234.73570399999153,234.7417393999931,234.7417393999931,235.3081455999927,5,0.54300079998211,0.019815800013020635,235.30833909998182,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,235.32402759999968,238.47106229999918,None,"['1', '1']","[2.5847364999935962, 3.112655100005213]","[0.0009298000077251345, 0.0008632999961264431]",238.4713030999992,238.48232729997835,238.48232729997835,238.48232729997835,243.46549169998616,,,,243.4819755999779,243.4819755999779,243.4819755999779,RBDCW007_Run2,RBDCW007_Run2,2024-04-04_14h20.04.315,AdvTask_fMRI_masculinePronouns,2023.2.2,59.941041988760055,2024-04-04 14h20.26.504375 -0400,
