ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions_Text.stopped,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,player_action_keys_punish.rt,player_action_keys_punish.duration,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,19.89862880000146,,0.001971099991351366,0.04190439998637885,0.04190439998637885,0.04190439998637885,0.04190439998637885,0.04190439998637885,0.04190439998637885,12.639339499990456,1,2.1443046999629587,1,2.7995770999696106,1,4.161189200007357,0,5.009671100007836,1,[12.611584099999163],[12.61158919997979],12.639461999991909,12.648256200016476,12.648256200016476,12.648256200016476,19.88182309997501,Maya,1,[7.2413723999634385],[7.241380299965385],19.882374799984973,19.89862880000146,19.89862880000146,37.7491034999839,5,17.836122899956536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,37.76447609998286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.75007830001414,37.76447609998286,37.76447609998286,39.56593799998518,5,1.798546600039117,0.001193299947772175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,39.5821777000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.56656100001419,39.5821777000092,39.5821777000092,39.74905139999464,5,0.15258229995379224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,39.765300199971534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.74965919996612,39.765300199971534,39.765300199971534,40.74853579996852,5,0.9697674000053667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.748770500009414,40.76495739998063,40.76495739998063,41.748950999986846,5,0.9697188000427559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,1,STR,"A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",Emma lunges forward attempting to force her blade through the protective plate.,Emma’s sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,Emma’s sword grazes the exterior plate. She is shot by the crossbow and is injured.,Emma,6,,,,,0,0,0,0,0,0,0,0,127.84030959999654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.748981399985496,41.765374700014945,57.76522080000723,57.74886629998218,57.76154300000053,57.76522080000723,93.27374039997812,93.24926219996996,93.24928129999898,93.27374039997812,95.2653052000096,95.40023709996603,95.4852847000002,95.4852847000002,95.4852847000002,95.4852847000002,95.4852847000002,95.4852847000002,95.4852847000002,95.4852847000002,95.4852847000002,101.11013180000009,101.26561100000981,107.16435869998531,107.26346749998629,110.24920379999094,110.49002929998096,110.5161325999652,110.5161325999652,110.5161325999652,110.5161325999652,112.31419309997,1,1.7856404000194743,0.000895500008482486,112.31463330000406,112.33088199998019,127.84030959999654,127.81410620000679,127.83848629996646,127.84030959999654,127.84030959999654,129.61487439996563,5,1.7729341000085697,0.00044840003829449415,129.6153719999711,129.6391077999724,135.63177510001697,135.63179279997712,135.6485251999693,135.6485251999693,141.9246581000043,141.9246581000043,141.77296209998894,141.90829900000244,141.9246581000043,141.9246581000043,142.74823929998092,5,0.8113247000146657,None,142.74883250001585,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,142.79101169999922,148.85385409998707,None,"['1', '1']","[5.12269990000641, 6.040676900011022]","[0.0008655000128783286, None]",148.85425329999998,148.86899129999802,148.86899129999802,148.86899129999802,153.86465409997618,,,,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,2,INT,"In the next room, the adventurers encounter a massive stone door with intricate runes. The inscription reads, "Solve the riddle to reveal what is behind." ",Yuxi relies on her wit to decipher the riddle. ,"Yuxi correctly deciphers the riddle, causing the stone door to open smoothly. She finds a small room filled with treasure.","Yuxi misinterprets the riddle, instead triggering a magical flash. She takes damage.",Yuxi,6,,,,,0,0,0,0,0,1,1,1,153.88149679999333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.86499959998764,153.88149679999333,153.88149679999333,154.74810809997143,5,0.8545020999736153,None,154.74849019997055,154.77564939996228,160.76380529999733,160.76381609996315,160.78454700001748,160.78454700001748,167.0921084000147,167.0921084000147,166.94861029996537,167.08545179996872,167.0921084000147,167.0921084000147,167.74836729996605,5,0.644033299991861,None,167.74877949996153,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,167.77874259999953,172.24856189999264,None,"['1', '1']","[3.7558405000017956, 4.44190840004012]","[0.000950500019825995, 0.0009295999770984054]",172.2488108999678,172.2638508999953,172.2638508999953,172.2638508999953,177.24806349998107,177.26457100000698,177.26457100000698,177.26457100000698,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,3,INT,"The floor is covered in a thick layer of mist. A booming voice announces, "Use your wit to navigate the mist or the mist might bite."",Emma decides to use her intuition to find a way through the mist.,"Emma cleverly observes the patterns in the mist, using her intelligence to discern a safe path and reach the other side unharmed.","Emma's vision is blocked by the mist, causing her to trip,  triggering a hidden trap. She suffers an injury.",Emma,7,,,,,0,0,0,0,0,2,2,2,177.26457100000698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.24843609996606,177.26457100000698,177.26457100000698,177.74808639998082,5,0.47141369996825233,None,177.74841930001276,177.77573519997532,183.76438549999148,183.76439570001094,183.79812280001352,183.79812280001352,191.08142830000725,191.08142830000725,190.94045019999612,191.07661469996674,191.08142830000725,191.08142830000725,191.74816189997364,5,0.6546622000169009,None,191.74854419997428,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,191.78418349998537,198.21741149999434,"['2', '2']",None,,,198.21834989998024,198.24205279996386,198.24205279996386,198.24205279996386,203.23086760001024,,,,"[5.576485399971716, 6.395531599991955]","[0.0010377999860793352, 0.0009491999517194927]",,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,4,STR,"A gigantic salamander emerges from the shadows, hungry for flesh.",Yuxi tries to climb on the salamander’s back. She wrestles it into a choke hold.,Yuxi chokes the salamander into unconsciousness. She is unharmed in the encounter.,"The salamander’s giant maw bites Yuxi’s arm. She takes damage, but the salamander cowers into its den.",Yuxi,7,,,,,0,0,0,0,0,3,3,3,203.24753479997162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.23118209996028,203.24753479997162,203.24753479997162,203.74813570000697,5,0.48853570001665503,None,203.74856059998274,203.77593000000343,209.77179209998576,209.7718031000113,209.79735110001639,209.79735110001639,217.08679319999646,217.08679319999646,216.94322519999696,217.08016849996056,217.08679319999646,217.08679319999646,217.74820309999632,5,0.6490458000334911,None,217.74868789996253,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,217.78870969999116,222.35188349999953,None,"['1', '1']","[2.8389471999835223, 4.526219999999739]","[0.0008970000199042261, 0.0008364999666810036]",222.3521286000032,222.36415049998323,222.36415049998323,222.36415049998323,227.34739899996202,227.36402749997796,227.36402749997796,227.36402749997796,,,,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,5,INT,The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,Yuxi attempts to rely on her intellect to solve the puzzle of the magical symbols.,Yuxi correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,Yuxi repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from her pack to the tar-like substance.,Yuxi,8,,,,,0,0,0,0,0,4,4,4,227.36402749997796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.34767839999404,227.36402749997796,227.36402749997796,227.74812800000655,5,0.3717809999943711,None,227.7485531999846,227.78152119996957,233.76392589998432,233.76393720001215,233.78040950000286,233.78040950000286,242.07194850000087,242.07194850000087,241.93026819999795,242.06610080000246,242.07194850000087,242.07194850000087,242.7470447999658,5,0.6637197000090964,None,242.747261099983,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,242.77999000001,247.40318179997848,"['2', '2']",None,,,247.40342919999966,247.41598409996368,247.41598409996368,247.41598409996368,252.41399530001217,,,,"[2.994760200032033, 4.587687999999616]","[0.0009510999661870301, 0.0009250000002793968]",,,,,,,,,RBDCW011_Run1,RBDCW011_Run1,2024-04-18_16h32.01.460,AdvTask_fMRI_masculinePronouns,2023.2.2,59.83720689527594,2024-04-18 16h44.35.248439 -0400,
