ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,Baseline.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,49.49257289999878,,0.0018008999995799968,0.041333499999382184,0.041333499999382184,0.041333499999382184,0.041333499999382184,0.041333499999382184,0.041333499999382184,40.55374999999913,0,38.70554880000054,0,39.10552020000068,0,39.33864809999977,1,40.020756699999765,1,[40.52161840000008],[40.52163599999949],40.55386859999999,40.56065619999936,40.56065619999936,40.56065619999936,49.47633319999841,Chase,1,[8.921511500000634],[8.921517099999619],49.4771211999996,49.49257289999878,49.49257289999878,62.94283789999827,5,13.438137900000584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,62.95901109999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.94356699999844,62.95901109999977,62.95901109999977,63.943140099998345,5,0.972348499999498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,63.95949829999881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.943773499999224,63.95949829999881,63.95949829999881,65.2428048999991,5,1.2680473999989772,0.0007875999999669148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,65.25945839999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.24336499999845,65.25945839999986,65.25945839999986,65.94284759999937,5,0.6715382000002137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.94323059999988,65.95970199999829,65.95970199999829,66.94312309999987,5,0.9709388000010222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,1,STR,"A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",Jack lunges forward attempting to force his blade through the protective plate.,Jack’s sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,Jack’s sword grazes the exterior plate. He is shot by the crossbow and is injured.,Jack,6,,,,,0,0,0,0,0,0,0,0,154.64179929999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9431612999997,66.95965449999858,82.94331639999837,82.96563369999967,82.97170819999883,118.4598145,118.4598436999986,118.50448889999825,120.44347070000003,120.55734769999981,120.64622249999957,120.64622249999957,120.64622249999957,120.64622249999957,120.64622249999957,120.64622249999957,120.64622249999957,120.64622249999957,120.64622249999957,126.26405009999871,126.45747899999878,132.32065819999843,132.4581980999992,135.45822169999883,135.45822169999883,135.45837629999914,135.68749169999865,135.69815569999992,135.69815569999992,135.69815569999992,135.69815569999992,139.0914391999995,2,3.385502200000701,0.0009415999993507285,139.09209999999985,139.11753709999903,154.608884199999,154.6393266999985,154.64179929999955,154.64179929999955,155.29248319999897,5,0.6365657999995165,0.0008658000006107613,155.2930598999992,155.31532909999987,161.3083601999988,161.3083721999992,161.3249366,161.3249366,167.70932539999922,167.70932539999922,167.4527496999999,167.5892757999991,167.70932539999922,167.70932539999922,169.94268769999871,5,2.2211810999997397,None,169.9434016999985,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,169.99970229999963,177.97002780000003,['2'],[4.339014499999394],[0.0007946000005176757],None,177.97043849999864,177.98607679999986,177.98607679999986,177.98607679999986,182.9757611999994,,,,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,2,INT,"In the next room, the adventurers encounter a massive stone door with intricate runes. The inscription reads, "Solve the riddle to reveal what is behind." ",Spencer relies on his wit to decipher the riddle. ,"Spencer correctly deciphers the riddle, causing the stone door to open smoothly. He finds a small room filled with treasure.","Spencer misinterprets the riddle, instead triggering a magical flash. He takes damage.",Spencer,6,,,,,0,0,0,0,0,1,1,1,182.99141539999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.97596939999858,182.99141539999982,182.99141539999982,183.94347339999877,5,0.9390502000005654,None,183.94420639999953,184.00351339999906,189.97422899999947,189.97423889999845,189.9911635999997,189.9911635999997,196.25358789999882,196.25358789999882,196.10950019999837,196.24569969999902,196.25358789999882,196.25358789999882,196.94173509999928,5,0.6769669000004797,None,196.94202679999944,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,196.99177019999843,200.2672991999989,None,,,"['1', '1']",200.2676481999988,200.2799662999987,200.2799662999987,200.2799662999987,205.27407069999936,"[2.27137810000022, 3.208319200000915]","[0.0009377000005770242, 0.000990099999398808]",,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,3,INT,"The floor is covered in a thick layer of mist. A booming voice announces, "Use your wit to navigate the mist or the mist might bite."",Jack decides to use his intuition to find a way through the mist.,"Jack cleverly observes the patterns in the mist, using his intelligence to discern a safe path and reach the other side unharmed.","Jack's vision is blocked by the mist, causing his to trip,  triggering a hidden trap. He suffers an injury.",Jack,7,,,,,0,0,0,0,0,2,2,2,205.29192179999882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.27453959999912,205.29192179999882,205.29192179999882,205.94158379999863,5,0.6383191000004445,None,205.94184909999967,205.9809996999993,211.97686609999982,211.97687609999957,211.99118859999908,211.99118859999908,219.27791399999842,219.27791399999842,219.1355341999988,219.27150839999922,219.27791399999842,219.27791399999842,220.30876089999947,5,1.0294075999991037,0.0009555000015097903,220.30925619999834,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,220.359886799999,224.39445629999864,None,,,"['1', '1']",224.39470999999867,224.40804949999983,224.40804949999983,224.40804949999983,229.39134179999928,"[3.1822548000000097, 3.9932079999998678]","[0.0009102000003622379, 0.0009802000004128786]",229.40796349999982,229.40796349999982,229.40796349999982,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,4,STR,"A gigantic salamander emerges from the shadows, hungry for flesh.",Spencer tries to climb on the salamander’s back. He wrestles it into a choke hold.,Spencer chokes the salamander into unconsciousness. He is unharmed in the encounter.,"The salamander’s giant maw bites Spencer’s arm. He takes damage, but the salamander cowers into its den.",Spencer,7,,,,,0,0,0,0,0,3,3,3,229.40796349999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.39168379999865,229.40796349999982,229.40796349999982,229.94215499999882,5,0.5226478000004136,None,229.94259539999985,229.98591019999913,235.97680359999868,235.97681399999965,235.99063549999846,235.99063549999846,243.26931839999997,243.26931839999997,243.1309945999983,243.26635129999886,243.26931839999997,243.26931839999997,243.94244979999894,5,0.6623257999999623,None,243.9428442999997,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,243.9945702999994,248.33148229999824,"['2', '2']","[4.008610999999291, 4.294648299999608]","[0.0014203000009729294, 0.0009458999993512407]",None,248.3317363999995,248.34267139999974,248.34267139999974,248.34267139999974,253.34018099999957,,,,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
1,WhiteMale_InGrp_Swap,Jack,Spencer,5,INT,The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,Spencer attempts to rely on his intellect to solve the puzzle of the magical symbols.,Spencer correctly identifies the sequence of tiles necessary to get across. He is showered by applause from the crowd.,Spencer repeatedly steps on incorrect tiles but manages to make it across. He loses some valuables from his pack to the tar-like substance.,Spencer,8,,,,,0,0,0,0,0,4,4,4,253.35784179999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.340614499999,253.35784179999973,253.35784179999973,253.94129519999842,5,0.5736234999985754,None,253.94164319999982,253.9876289999993,259.9579247999991,259.9579440999987,259.99114889999873,259.99114889999873,268.2622397999985,268.2622397999985,268.1151039999986,268.25151469999946,268.2622397999985,268.2622397999985,268.9420399999999,5,0.6692395999998553,None,268.9426123999983,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,269.0049741999992,272.7018838999993,None,,,"['1', '1']",272.70213349999904,272.7146643999986,272.7146643999986,272.7146643999986,277.7069311999985,"[3.3384330999997474, 3.6515142999996897]","[0.0008863999992172467, 0.000598599999648286]",,,,,,,,,,,,,RBDCW005_Run1,RBDCW005_Run1,2024-04-01_13h45.50.498,AdvTask_fMRI_masculinePronouns,2023.2.2,60.025450791453466,2024-04-01 13h57.19.188405 -0400,
