ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,8.944075200008228,,0.001990300021134317,0.04079650004860014,0.04079650004860014,0.04079650004860014,0.04079650004860014,0.04079650004860014,0.04079650004860014,3.862089999951422,0,1.4237928999355063,0,1.6727279999759048,1,2.2739353999495506,1,2.5588214000454172,1,[3.83446849999018],[3.8344744000351056],3.862206600024365,3.869294899981469,3.869294899981469,3.869294899981469,8.927890000049956,Manny,1,[5.064698000089265],[5.064702500007115],8.928416699985974,8.944075200008228,8.944075200008228,26.91169209999498,5,17.958670699968934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,26.92733410000801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.912804399966262,26.92733410000801,26.92733410000801,27.911662700003944,5,0.9750361999031156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,27.92787989997305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.912383100017905,27.92787989997305,27.92787989997305,28.912014200002886,5,0.9749082999769598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,28.928035599994473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.912835899973288,28.928035599994473,28.928035599994473,29.911826899973676,5,0.974382899934426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91230079997331,29.92810450005345,29.92810450005345,30.912015500012785,5,0.9742994999978691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
11,WhiteMale_OutGrp_Swap,Jack,Haoyu,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Haoyu tries to shake the tree with all his might.,Haoyu's efforts make several of the fruit fall. He will be able to sell these back in the village.,Haoyu does not manage to shake any of the fruit loose. He hurts his shoulder in the process.,Haoyu,6,,,,,0,0,0,0,0,0,0,0,117.50145069998689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91207239998039,30.927152500022203,46.9287226999877,46.91134830005467,46.919050300028175,46.9287226999877,82.42726230004337,82.42727220000234,82.45672699995339,84.42874210001901,84.58763720002025,84.67600229999516,84.67600229999516,84.67600229999516,84.67600229999516,84.67600229999516,84.67600229999516,84.67600229999516,84.67600229999516,84.67600229999516,90.28969350003172,90.42601359996479,96.33917609998025,96.42673920001835,99.42671919998247,99.42671919998247,99.42686670005787,99.67523189994972,99.68527919996995,99.68527919996995,99.68527919996995,99.68527919996995,101.95983509998769,2,2.258068700088188,0.0007730999495834112,101.96017770003527,101.97693899995647,117.50145069998689,117.46011900005396,117.49904739996418,117.50145069998689,117.50145069998689,117.91144459997304,5,0.40136680006980896,None,117.91220829996746,117.94016600004397,123.94377580005676,123.94378910004161,123.98462779994588,123.98462779994588,130.25200820004102,130.25200820004102,130.10913580004126,130.24561830004677,130.25200820004102,130.25200820004102,130.91149339999538,5,0.6504656999604777,None,130.9122707999777,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,130.94990400003735,135.49440179998055,"['2', '2']","[3.770316799986176, 4.521359800011851]","[0.000938400044105947, 0.000866799964569509]",None,135.49480159999803,135.51014370005578,135.51014370005578,135.51014370005578,140.51060659997165,140.51060659997165,140.51060659997165,140.4939250999596,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
11,WhiteMale_OutGrp_Swap,Jack,Haoyu,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Jack relies on his intelligence to parse the details of the map.,Jack successfully deciphers the map. He finds a path that avoids nearby hazards.,Jack gets confused by the worn map. He leads the duo into a quicksand pit causing them to drop some valubles.,Jack,7,,,,,0,0,0,0,0,1,1,1,140.51060659997165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.49433110002428,140.51060659997165,140.51060659997165,140.91094370000064,5,0.3922510000411421,None,140.91131280001719,140.93307260004804,146.92646240000613,146.92647369997576,146.9432131999638,146.9432131999638,154.22515650000423,154.22515650000423,154.08241190004628,154.21858330001123,154.22515650000423,154.22515650000423,154.91104080004152,5,0.6773295999737456,None,154.9115278000245,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,154.94710760004818,159.07689829997253,None,,,"['1', '1']",159.07725400000345,159.09310089994688,159.09310089994688,159.09310089994688,164.09330269997008,164.09330269997008,164.09330269997008,164.07590569998138,"[3.133081699954346, 4.09698859998025]","[0.0009166999952867627, 0.0010136000346392393]",,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
11,WhiteMale_OutGrp_Swap,Jack,Haoyu,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Haoyu relies on his wit to make sense of the riddle.,Haoyu solves the riddle. He is rewarded with a small silver trinket.,Haoyu is unable to make sense of the riddle. He is obligated to pay the merchant.,Haoyu,6,,,,,0,0,0,0,0,2,2,2,164.09330269997008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0762227999512,164.09330269997008,164.09330269997008,164.91075270005967,5,0.8093399000354111,None,164.91114680003375,164.93299290002324,170.92791970004328,170.92793070001062,170.94700569997076,170.94700569997076,177.25186580000445,177.25186580000445,177.1102229000535,177.2455362000037,177.25186580000445,177.25186580000445,177.91039420000743,5,0.6505707000615075,None,177.91077219997533,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,177.94088540005032,182.4800630999962,None,,,"['1', '1']",182.48069640004542,182.50173769996036,182.50173769996036,182.50173769996036,,,,187.49348589999136,"[3.6977866999804974, 4.505267899949104]","[0.000750000006519258, 0.000939300050958991]",,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
11,WhiteMale_OutGrp_Swap,Jack,Haoyu,4,STR,A fissue connects the two sides of a valley. ,Jack tries to use his athleticism to jump across the fissure.,Jack successfully jumps the gap. He is able to secure a rope to throw back across.,Jack barely grabs on to the edge. He is able to climb up and secure a rope but is injured in the process.,Jack,6,,,,,0,0,0,0,0,3,3,3,187.51019059994724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4938721000217,187.51019059994724,187.51019059994724,187.91083089995664,5,0.3925518000032753,None,187.9113062999677,187.93575730000157,193.93368180003017,193.93369340000208,193.94346360000782,193.94346360000782,200.24835150002036,200.24835150002036,200.10516559996177,200.24166689999402,200.24835150002036,200.24835150002036,200.91079720004927,5,0.6553739999653772,None,200.9112504000077,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,200.95011199999135,207.05932770005893,None,,,"['1', '1']",207.05958270002156,207.07600720005576,207.07600720005576,207.07600720005576,212.07660220004618,212.07660220004618,212.07660220004618,212.05924930004403,"[5.596411200007424, 6.080039500026032]","[None, 0.0009721999522298574]",,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
11,WhiteMale_OutGrp_Swap,Jack,Haoyu,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Jack tries to rely on his intelligence to decipher the language.,Jack is able to  decipher a set of instructions to a nearby cache. He is led to a cache of small gemstones.,Jack is unable to make sense of the language. He is left empty handed.,Jack,7,,,,,0,0,0,0,0,4,4,4,212.07660220004618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.05961090000346,212.07660220004618,212.07660220004618,212.9104684999911,5,0.8270525999832898,None,212.91084150003735,212.9362188000232,218.933588600019,218.9335996999871,218.9452653999906,218.9452653999906,226.19705099996645,226.19705099996645,226.05431769997813,226.19089129997883,226.19705099996645,226.19705099996645,226.9109198000515,5,0.7068200999638066,None,226.91143430001102,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,226.94858480000403,229.494292999967,"['2', '2']","[1.7257475999649614, 2.515624099993147]","[0.0008721000049263239, 0.0009781999979168177]",None,229.4945424000034,229.50932249997277,229.50932249997277,229.50932249997277,234.50999749999028,234.50999749999028,234.50999749999028,234.4925543999998,,,,,,,,,,,RBDCW003_Run2,RBDCW003_Run2,2024-03-27_14h58.55.973,AdvTask_fMRI_masculinePronouns,2023.2.2,60.103088791221055,2024-03-27 14h59.11.610710 -0400,
