ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,player_action_keys_punish.rt,player_action_keys_punish.duration,Encounter_intro.stopped,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,11.422085999991396,,0.002060600003460422,0.04181339999195188,0.04181339999195188,0.04181339999195188,0.04181339999195188,0.04181339999195188,0.04181339999195188,7.429512699993211,1,4.352883899991866,0,1.6204887999920174,1,5.9881277000095,0,7.055686499996227,1,[7.402285099989967],[7.402289599995129],7.429636999993818,7.438267699995777,7.438267699995777,7.438267699995777,11.406324299998232,Alana,1,[3.975594599993201],[3.975604099992779],11.407289599999785,11.422085999991396,11.422085999991396,30.238667199999327,5,18.814126600002055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,30.255085299999337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.239410499998485,30.255085299999337,30.255085299999337,31.23870299999544,5,0.9820805000053952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,31.254764199999045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.239251899998635,31.254764199999045,31.254764199999045,32.23868320000474,5,0.9823343000025488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,32.255158500003745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.239235699991696,32.255158500003745,32.255158500003745,33.239217700000154,5,0.9820788000070024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.23972230000072,33.25524250000308,33.25524250000308,34.23895450000418,5,0.9809223999909591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,1,STR,"A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",Yuxi lunges forward attempting to force her blade through the protective plate.,Yuxi’s sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,Yuxi’s sword grazes the exterior plate. She is shot by the crossbow and is injured.,Yuxi,6,,,,,0,0,0,0,0,0,0,0,121.20047769999655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.23899709999387,34.25558349999483,50.259530399998766,50.23895499999344,50.253126800002065,50.259530399998766,85.75546859999304,85.75549019999744,85.77322679999634,87.75496429999475,87.90211450000061,87.99697399999422,87.99697399999422,87.99697399999422,87.99697399999422,87.99697399999422,87.99697399999422,87.99697399999422,87.99697399999422,87.99697399999422,93.63577729999088,93.75409909999871,99.68367849999049,99.75315439999395,102.75780130000203,102.75780130000203,102.75795359999756,102.9929989999946,103.01844739999797,103.01844739999797,103.01844739999797,103.01844739999797,105.6697831999918,1,2.63752009999007,0.0011041999969165772,105.6700748000003,105.68726369999058,121.20047769999655,121.17019180000352,121.19857629999751,121.20047769999655,121.20047769999655,121.43855459999759,5,0.23521420000179205,0.00048689999675843865,121.43931420000445,121.46831110000494,127.45985830000427,127.45986889999767,127.50441539999156,127.50441539999156,133.7644569999975,133.7644569999975,133.62183239999285,133.7578477999923,133.7644569999975,133.7644569999975,134.23755370000436,5,0.47193939999851864,None,134.23787519999314,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,134.2833998999995,140.51047399999516,None,"['1', '1']","[5.027706300010323, 6.188823000004049]","[0.0008827999990899116, 0.0007508999988203868]",140.51087389999884,140.52587470000435,140.52587470000435,140.52587470000435,145.52083140000468,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,2,INT,"In the next room, the adventurers encounter a massive stone door with intricate runes. The inscription reads, "Solve the riddle to reveal what is behind." ",Emma relies on her wit to decipher the riddle. ,"Emma correctly deciphers the riddle, causing the stone door to open smoothly. She finds a small room filled with treasure.","Emma misinterprets the riddle, instead triggering a magical flash. She takes damage.",Emma,6,,,,,0,0,0,0,0,1,1,1,145.53753639999195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.5211532999965,145.53753639999195,145.53753639999195,146.23787280000397,5,0.6987891000026138,None,146.23830080000334,146.27463780000107,152.26725449999503,152.2672661999968,152.28545450000092,152.28545450000092,158.52046359999804,158.52046359999804,158.37845960000413,158.51397790000192,158.52046359999804,158.52046359999804,159.23796099999163,5,0.7157977000024403,None,159.23835600000166,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,159.28115300000354,162.81368130000192,None,"['1', '1']","[2.4178562000015518, 3.501792499999283]","[0.0009636999893700704, 0.0009935999987646937]",162.8139480999962,162.82552519999444,162.82552519999444,162.82552519999444,167.82092559999728,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,3,INT,"The floor is covered in a thick layer of mist. A booming voice announces, "Use your wit to navigate the mist or the mist might bite."",Yuxi decides to use her intuition to find a way through the mist.,"Yuxi cleverly observes the patterns in the mist, using her intelligence to discern a safe path and reach the other side unharmed.","Yuxi's vision is blocked by the mist, causing her to trip,  triggering a hidden trap. She suffers an injury.",Yuxi,7,,,,,0,0,0,0,0,2,2,2,167.83720929999254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.82134320000478,167.83720929999254,167.83720929999254,168.23780689999694,5,0.3990866999956779,None,168.23814159999893,168.27044359999127,174.26504410000052,174.26505509999697,174.2865535000019,174.2865535000019,181.57534090000263,181.57534090000263,181.4334017999936,181.56957229999534,181.57534090000263,181.57534090000263,182.23836889999802,5,0.660898799993447,None,182.23888399999123,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,182.2858791000035,188.7267198999907,None,"['1', '1']","[4.954040800002986, 6.396261100002448]","[0.0009349999891128391, 0.0010140999947907403]",188.72700420000183,188.74050569999963,188.74050569999963,188.74050569999963,193.73700229999667,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,4,STR,"A gigantic salamander emerges from the shadows, hungry for flesh.",Emma tries to climb on the salamander’s back. She wrestles it into a choke hold.,Emma chokes the salamander into unconsciousness. She is unharmed in the encounter.,"The salamander’s giant maw bites Emma’s arm. She takes damage, but the salamander cowers into its den.",Emma,7,,,,,0,0,0,0,0,3,3,3,193.75385910000477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.73732069999096,193.75385910000477,193.75385910000477,194.23827560000063,5,0.4823532000009436,None,194.23877820000052,194.27660489999107,200.26776279999467,200.26777330000186,200.29168149999168,200.29168149999168,207.54418549999536,207.54418549999536,207.40293919999385,207.53898850000405,207.54418549999536,207.54418549999536,208.23746000000392,5,0.6929311999992933,None,208.2377978000004,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,208.27833639999153,214.06587690000015,"['2', '2']",None,,,214.06622349999088,214.07721210000454,214.07721210000454,214.07721210000454,219.0703310999961,"[5.042657300000428, 5.731621400002041]","[0.0009061000018846244, 0.0010304000024916604]",,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,5,INT,The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,Emma attempts to rely on her intellect to solve the puzzle of the magical symbols.,Emma correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,Emma repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from her pack to the tar-like substance.,Emma,8,,,,,0,0,0,0,0,4,4,4,219.08712689999084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.07071279999218,219.08712689999084,219.08712689999084,219.23757820000174,5,0.14998370000103023,None,219.23794910000288,219.27923079999164,225.2674335999909,225.26744470000267,225.27422239999578,225.27422239999578,233.54331539999112,233.54331539999112,233.40134789999865,233.53715340000053,233.54331539999112,233.54331539999112,234.2680481999996,5,0.6939130999962799,0.019717100003617816,234.26824649999617,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,234.284576799997,238.94131379999453,None,"['1', '1']","[3.4283826999890152, 4.6184617999970214]","[0.000963800004683435, 0.0009113999985856935]",238.94156459999795,238.9537330000021,238.9537330000021,238.9537330000021,243.9536911000032,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_15h53.54.318,AdvTask_fMRI_masculinePronouns,2023.2.2,59.92778701792261,2024-04-16 16h02.31.075890 -0400,
