ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions_Text.stopped,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Encounter_intro.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,56.281378200044855,,0.0018257999909110367,0.0402608000440523,0.0402608000440523,0.0402608000440523,0.0402608000440523,0.0402608000440523,0.0402608000440523,3.2203607000410557,0,1.8606100999750197,0,2.1291391999693587,0,2.476576399989426,0,2.761118499969598,1,[3.194057199987583],[3.194061599962879],3.2204587000305764,3.2325543999904767,3.2325543999904767,3.2325543999904767,56.264438699989114,Martin,1,[53.043042800039984],[53.04304990003584],56.26502160000382,56.281378200044855,56.281378200044855,71.6820150000276,5,15.395430799981114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,71.69846069999039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.68298020004295,71.69846069999039,71.69846069999039,72.68200590001652,5,0.9781115000369027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,72.69835479999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.68272230000002,72.69835479999892,72.69835479999892,73.68231040000683,5,0.9784945999854244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,73.69842999998946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.68317790003493,73.69842999998946,73.69842999998946,74.68211990001146,5,0.9781003000098281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.68261740001617,74.6983792000101,74.6983792000101,75.68243660003645,5,0.9785100999870338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
0,WhiteMale_InGrp,Spencer,Jack,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Jack tries to shake the tree with all his might.,Jack's efforts make several of the fruit fall. He will be able to sell these back in the village.,Jack does not manage to shake any of the fruit loose. He hurts his shoulder in the process.,Jack,6,,,,,0,0,0,0,0,0,0,0,162.07574590004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.68247990001692,75.69875229999889,91.6981039000093,91.68176270002732,91.68738040002063,91.6981039000093,127.21979480003938,127.18248610000592,127.18250719999196,127.21979480003938,129.19832110003335,129.34211140003754,129.42170470004203,129.42170470004203,129.42170470004203,129.42170470004203,129.42170470004203,129.42170470004203,129.42170470004203,129.42170470004203,129.42170470004203,135.04927890002728,135.19856170000276,141.095578700013,141.19633539998904,144.18282550002914,144.39836849999847,144.41644990001805,144.41644990001805,144.41644990001805,144.41644990001805,146.54697570001008,2,2.12430470000254,0.0011610999936237931,146.54747610003687,146.59545690001687,162.0477107000188,162.07333050004672,162.07574590004515,162.07574590004515,163.68135279999115,5,1.6012258999980986,None,163.68186870001955,163.70993230002932,169.7038003000198,169.70381130004534,169.73160030000145,169.73160030000145,175.99925550003536,175.99925550003536,175.8578172000125,175.99311060004402,175.99925550003536,175.99925550003536,176.68124290002743,5,0.6776783000095747,None,176.68176629999653,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,176.72705390001647,182.48351089999778,"['2', '2']","[5.034374400041997, 5.720593900012318]","[0.0009765999857336283, 0.0007049000123515725]",None,182.48391220002668,182.4975770000019,182.4975770000019,182.4975770000019,187.4974891000311,187.4974891000311,187.4974891000311,187.48110170004657,,,,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
0,WhiteMale_InGrp,Spencer,Jack,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Spencer relies on his intelligence to parse the details of the map.,Spencer successfully deciphers the map. He finds a path that avoids nearby hazards.,Spencer gets confused by the worn map. He leads the duo into a quicksand pit causing them to drop some valubles.,Spencer,7,,,,,0,0,0,0,0,1,1,1,187.4974891000311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4814095000038,187.4974891000311,187.4974891000311,187.68135830003303,5,0.17953620001208037,None,187.6817360999994,187.7187060000142,193.69750120001845,193.69751379999798,193.7207458000048,193.7207458000048,201.01513130002422,201.01513130002422,200.873025900044,201.00980350002646,201.01513130002422,201.01513130002422,201.68099030002486,5,0.6618067999952473,None,201.6813325000112,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,201.72412640001858,204.81846510001924,None,,,"['1', '1']",204.81880710000405,204.83116780000273,204.83116780000273,204.83116780000273,209.83067610004218,209.83067610004218,209.83067610004218,209.81420379999327,"[2.62721629999578, 3.056251500034705]","[0.0009743000264279544, 0.0009328999440185726]",,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
0,WhiteMale_InGrp,Spencer,Jack,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Jack relies on his wit to make sense of the riddle.,Jack solves the riddle. He is rewarded with a small silver trinket.,Jack is unable to make sense of the riddle. He is obligated to pay the merchant.,Jack,6,,,,,0,0,0,0,0,2,2,2,209.83067610004218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.81446339999093,209.83067610004218,209.83067610004218,210.68101050000405,5,0.8461895000073127,None,210.68138620001264,210.7206871000235,216.71700200001942,216.71701230003964,216.74888070003362,216.74888070003362,223.0177453000215,223.0177453000215,222.87455790000968,223.0109919999959,223.0177453000215,223.0177453000215,223.6809254999971,5,0.6599731000023894,None,223.68123809999088,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,223.72142409998924,227.74759839999024,None,,,"['1', '1']",227.74785079999128,227.76461559999734,227.76461559999734,227.76461559999734,,,,232.76382600003853,"[3.483944999985397, 3.9849308999837376]","[0.0009630999993532896, 0.000986600003670901]",,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
0,WhiteMale_InGrp,Spencer,Jack,4,STR,A fissue connects the two sides of a valley. ,Spencer tries to use his athleticism to jump across the fissure.,Spencer successfully jumps the gap. He is able to secure a rope to throw back across.,Spencer barely grabs on to the edge. He is able to climb up and secure a rope but is injured in the process.,Spencer,6,,,,,0,0,0,0,0,3,3,3,232.780481600028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.76406950003002,232.780481600028,232.780481600028,233.6811110000126,5,0.8974096000310965,None,233.6815408000257,233.72063520003576,239.71415200002957,239.71416180004599,239.73120620002737,239.73120620002737,245.96720600000117,245.96720600000117,245.82551330002025,245.9609706000192,245.96720600000117,245.96720600000117,246.68081280001206,5,0.7106017000041902,None,246.68112840002868,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,246.73009450000245,250.86394870001823,"['2', '2']","[3.4223294999683276, 4.088315199944191]","[0.000963500002399087, 0.0009652000153437257]",None,250.86420270003146,250.87997440004256,250.87997440004256,250.87997440004256,255.880413100007,255.880413100007,255.880413100007,255.86278780002613,,,,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
0,WhiteMale_InGrp,Spencer,Jack,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Spencer tries to rely on his intelligence to decipher the language.,Spencer is able to  decipher a set of instructions to a nearby cache. He is led to a cache of small gemstones.,Spencer is unable to make sense of the language. He is left empty handed.,Spencer,7,,,,,0,0,0,0,0,4,4,4,255.880413100007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8630892999936,255.880413100007,255.880413100007,256.68132850003894,5,0.7974590000230819,None,256.68183350004256,256.7300404999987,262.69724519999,262.6972606999916,262.7283906000084,262.7283906000084,270.01108369999565,270.01108369999565,269.8701151999994,270.005673800013,270.01108369999565,270.01108369999565,271.6811214000336,5,1.6670168999698944,None,271.68160450004507,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,271.7438148999936,278.61603189999005,None,,,"['1', '1']",278.61668620002456,278.63564280001447,278.63564280001447,278.63564280001447,,,,283.62936590000754,"[6.23291430005338, 6.8038756000460126]","[0.0009192999568767846, 0.0009178000036627054]",,,,,,,,,,RBDCW001,RBDCW001,2024-03-26_11h17.34.587,AdvTask_fMRI_masculinePronouns,2023.2.2,59.944635139097045,2024-03-26 11h17.40.132772 -0400,
