ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,8.541190000003553,,0.0020594000088749453,0.04379410001274664,0.04379410001274664,0.04379410001274664,0.04379410001274664,0.04379410001274664,0.04379410001274664,3.959190600013244,1,1.9197807000018656,0,2.4981283000088297,0,2.852622500009602,0,3.1872251000022516,1,[3.9296644999994896],[3.9296707000030437],3.9593104000086896,3.966636600001948,3.966636600001948,3.966636600001948,8.525006900003063,Shinjini,1,[4.564753899991047],[4.5647584999969695],8.525540100003127,8.541190000003553,8.541190000003553,24.15815110001131,5,15.60537309999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,24.174666000006255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.159155900008045,24.174666000006255,24.174666000006255,25.158027600002242,5,0.9717792999872472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,25.174324300009175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.158413000011933,25.174324300009175,25.174324300009175,26.158816200011643,5,0.9720374000025913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,26.17487240000628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.159565000009025,26.17487240000628,26.17487240000628,27.158594700013055,5,0.9714134000096237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.15906370000448,27.17441580000741,27.17441580000741,28.15798870001163,5,0.972117099998286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Emma tries to shake the tree with all her might.,Emma's efforts make several of the fruit fall. She will be able to sell these back in the village.,Emma does not manage to shake any of the fruit loose. She hurts her shoulder in the process.,Emma,6,,,,,0,0,0,0,0,0,0,0,114.2996642000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15801700000884,28.174542300010216,44.17713340000773,44.15823590000218,44.16617560001032,44.17713340000773,79.67397660001006,79.67398890000186,79.69056860001001,81.67433350000647,81.81918740000401,81.90600800000539,81.90600800000539,81.90600800000539,81.90600800000539,81.90600800000539,81.90600800000539,81.90600800000539,81.90600800000539,81.90600800000539,87.53011250001146,87.65801210000063,93.5281735000026,93.65971980000904,96.65797480000765,96.65824319999956,96.90464050001174,96.93158970000513,96.93158970000513,96.93158970000513,96.93158970000513,98.77323440001055,1,1.8329775999882258,0.000862300003063865,98.77369650000765,98.7899189000018,114.2996642000071,114.27263450001192,114.297593100011,114.2996642000071,114.2996642000071,115.15709300000162,5,0.846456399987801,None,115.15743000000657,115.1772437000036,121.15762770001311,121.15764630000922,121.21157790000143,121.21157790000143,127.451533200001,127.451533200001,127.31204680001247,127.44777009999962,127.451533200001,127.451533200001,128.157160200004,5,0.6947922999970615,None,128.15753300000506,128.19478270001127,128.19478270001127,128.19478270001127,128.19478270001127,128.19478270001127,128.19478270001127,128.19478270001127,128.19478270001127,132.95857500001148,"['2', '2']","[4.065412500000093, 4.744552200005273]","[0.0009018999990075827, 0.0009290000016335398]",None,132.9589871000062,132.97334560001036,132.97334560001036,132.97334560001036,137.97374560000026,137.97374560000026,137.97374560000026,137.95644960000936,,,,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Becky relies on her intelligence to parse the details of the map.,Becky successfully deciphers the map. She finds a path that avoids nearby hazards.,Becky gets confused by the worn map. She leads the duo into a quicksand pit causing them to drop some valubles.,Becky,7,,,,,0,0,0,0,0,1,1,1,137.97374560000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.95690540000214,137.97374560000026,137.97374560000026,138.15735180000775,5,0.17263810000440571,None,138.15760480001336,138.17910360000678,144.1738284000021,144.17384149999998,144.20245110000542,144.20245110000542,151.49122160000843,151.49122160000843,151.34523930000432,151.48055330000352,151.49122160000843,151.49122160000843,152.15747780000675,5,0.6553986000071745,None,152.15783080000256,152.1887284000113,152.1887284000113,152.1887284000113,152.1887284000113,152.1887284000113,152.1887284000113,152.1887284000113,152.1887284000113,154.51106470001105,None,,,"['1', '1']",154.51153980000527,154.52419300000474,154.52419300000474,154.52419300000474,159.52379560000554,159.52379560000554,159.52379560000554,159.50738050001382,"[1.5645936000073561, 2.2894295000005513]","[0.000835299986647442, 0.0009570999973220751]",,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Emma relies on her wit to make sense of the riddle.,Emma solves the riddle. She is rewarded with a small silver trinket.,Emma is unable to make sense of the riddle. She is obligated to pay the merchant.,Emma,6,,,,,0,0,0,0,0,2,2,2,159.52379560000554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5076926000038,159.52379560000554,159.52379560000554,160.15695390000474,5,0.6228088000061689,None,160.15717470001255,160.1776886000007,166.176583700013,166.17659590000403,166.19033900000795,166.19033900000795,172.45799380000972,172.45799380000972,172.31186670000898,172.44784060001257,172.45799380000972,172.45799380000972,173.15737700001046,5,0.6886020000092685,None,173.15777190000517,173.191550500007,173.191550500007,173.191550500007,173.191550500007,173.191550500007,173.191550500007,173.191550500007,173.191550500007,175.35723040001176,None,,,"['1', '1']",175.35749180000857,175.37316120001196,175.37316120001196,175.37316120001196,180.37342100001115,180.37342100001115,180.37342100001115,180.35709119999956,"[1.3485206000041217, 2.1375136999995448]","[0.0009399999980814755, 0.0009451000078115612]",,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,4,STR,A fissue connects the two sides of a valley. ,Becky tries to use her athleticism to jump across the fissure.,Becky successfully jumps the gap. She is able to secure a rope to throw back across.,Becky barely grabs on to the edge. She is able to climb up and secure a rope but is injured in the process.,Becky,6,,,,,0,0,0,0,0,3,3,3,180.37342100001115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3573647000012,180.37342100001115,180.37342100001115,181.1571060000133,5,0.7731466999975964,None,181.1573411999998,181.1763445000106,187.1791169000062,187.17912770000112,187.1934665000008,187.1934665000008,193.49951860000147,193.49951860000147,193.3532656000025,193.48881080000137,193.49951860000147,193.49951860000147,194.15700050001033,5,0.6470544000039808,None,194.15723060000164,194.1824376000004,194.1824376000004,194.1824376000004,194.1824376000004,194.1824376000004,194.1824376000004,194.1824376000004,194.1824376000004,199.08550800000376,"['2', '2']","[3.7337332000024617, 4.875723900011508]","[0.000938299999688752, 0.0009414999949513003]",None,199.08576990000438,199.09625740000047,199.09625740000047,199.09625740000047,,,,204.09027450000576,,,,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Becky tries to rely on her intelligence to decipher the language.,Becky is able to  decipher a set of instructions to a nearby cache. She is led to a cache of small gemstones.,Becky is unable to make sense of the language. She is left empty handed.,Becky,7,,,,,0,0,0,0,0,4,4,4,204.10680850000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.09116050000011,204.10680850000062,204.10680850000062,204.15709620001144,5,0.04070040000078734,None,204.15742480001063,204.18451590000768,210.18122880000737,210.18124050000915,210.21066010001232,210.21066010001232,217.50029360000917,217.50029360000917,217.35358670000278,217.48947100000805,217.50029360000917,217.50029360000917,218.1572782000003,5,0.6472030000004452,None,218.1577408000012,218.19274360001145,218.19274360001145,218.19274360001145,218.19274360001145,218.19274360001145,218.19274360001145,218.19274360001145,218.19274360001145,221.02640790000441,None,,,"['1', '1']",221.02666540000064,221.03957290000108,221.03957290000108,221.03957290000108,226.04004210000858,226.04004210000858,226.04004210000858,226.02369190000172,"[1.8523965000058524, 2.7975098000024445]","[0.0008759999909671023, 0.0008971000061137602]",,,,,,,,,Adv_Plt2_Run2,001,2024-02-15_16h11.31.722,AdvTask_fMRI_masculinePronouns,2023.2.2,60.049600967092275,2024-02-15 16h11.52.717993 -0500,
