ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Encounter_intro.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,12.905451599974185,,0.0018780999816954136,0.043353799963369966,0.043353799963369966,0.043353799963369966,0.043353799963369966,0.043353799963369966,0.043353799963369966,6.678208600031212,1,2.1344379000365734,0,2.8219866999424994,1,3.450322899967432,0,4.032613100018352,1,[6.650241700001061],[6.650248300051317],6.678351799957454,6.68911100004334,6.68911100004334,6.68911100004334,12.88940890005324,Brittany,1,[6.210092000081204],[6.210097300005145],12.88993089995347,12.905451599974185,12.905451599974185,26.3567034000298,5,13.445397699950263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,26.372401500004344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.357774200034328,26.372401500004344,26.372401500004344,28.356789499986917,5,1.978650499950163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,28.372035200009122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.357629299978726,28.372035200009122,28.372035200009122,29.356457500020042,5,0.9791631000116467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,29.372080700006336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.357163200038485,29.372080700006336,29.372080700006336,30.35674179997295,5,0.978744599968195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.357304799952544,30.373800999950618,30.373800999950618,31.35566680005286,5,0.9769856000784785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Emma tries to shake the tree with all her might.,Emma's efforts make several of the fruit fall. She will be able to sell these back in the village.,Emma does not manage to shake any of the fruit loose. She hurts her shoulder in the process.,Emma,6,,,,,0,0,0,0,0,0,0,0,117.15732360002585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.35568619996775,31.372049400000833,47.35590309998952,47.362820900045335,47.376017799950205,82.87252390000504,82.87254120002035,82.88842299999669,84.85639380000066,85.0127776999725,85.07724480004981,85.07724480004981,85.07724480004981,85.07724480004981,85.07724480004981,85.07724480004981,85.07724480004981,85.07724480004981,85.07724480004981,90.69827529997565,90.86743230000138,96.70022330002394,96.8612769000465,99.87169729999732,99.87169729999732,99.87184829998296,100.0922269000439,100.10283610003535,100.10283610003535,100.10283610003535,100.10283610003535,101.63150649995077,2,1.504919399973005,0.0008399999933317304,101.63180370000191,101.63810109999031,117.15732360002585,117.12252880004235,117.15482159995008,117.15732360002585,117.15732360002585,117.3556007000152,5,0.19388539995998144,None,117.3562681999756,117.39366619999055,123.37900549999904,123.37901599996258,123.41601549996994,123.41601549996994,129.68548630003352,129.68548630003352,129.53890120005235,129.67458210000768,129.68548630003352,129.68548630003352,132.35512339998968,5,2.6654858998954296,None,132.35556649998762,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,132.40609820000827,138.07039859995712,"['2', '2']","[5.2325194999575615, 5.621929600019939]","[None, 0.0008842999814078212]",None,138.07096269994508,138.08456270000897,138.08456270000897,138.08456270000897,143.0883037999738,143.0883037999738,143.0883037999738,143.07100430002902,,,,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Yuxi relies on her intelligence to parse the details of the map.,Yuxi successfully deciphers the map. She finds a path that avoids nearby hazards.,Yuxi gets confused by the worn map. She leads the duo into a quicksand pit causing them to drop some valubles.,Yuxi,7,,,,,0,0,0,0,0,1,1,1,143.0883037999738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0713318999624,143.0883037999738,143.0883037999738,143.35602790000848,5,0.26281480002216995,None,143.3566136000445,143.39802780002356,149.3720905999653,149.37211140000727,149.38802419998683,149.38802419998683,156.6649638999952,156.6649638999952,156.52230149996467,156.65881479997188,156.6649638999952,156.6649638999952,157.3548530000262,5,0.6858522000256926,None,157.3550822000252,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,157.3986225000117,160.1739270000253,None,,,"['1', '1']",160.17480719997548,160.20024879998527,160.20024879998527,160.20024879998527,,,,165.18874360003974,"[2.2589730999898165, 2.727941299905069]","[0.0008787999395281076, 0.001202200073748827]",,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Emma relies on her wit to make sense of the riddle.,Emma solves the riddle. She is rewarded with a small silver trinket.,Emma is unable to make sense of the riddle. She is obligated to pay the merchant.,Emma,6,,,,,0,0,0,0,0,2,2,2,165.20505240000784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.18921620002948,165.20505240000784,165.20505240000784,165.35487040004227,5,0.1467781999381259,None,165.3551417000126,165.3966312999837,171.39354349998757,171.3935539999511,171.40621050004847,171.40621050004847,177.71067129995208,177.71067129995208,177.56832179997582,177.70495749998372,177.71067129995208,177.71067129995208,178.3547822999535,5,0.6412122999317944,None,178.3551041999599,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,178.40240450005513,180.6041098999558,None,,,"['1', '1']",180.6043795000296,180.6210912000388,180.6210912000388,180.6210912000388,,,,185.60460259998217,"[1.6812225000467151, 2.1551811000099406]","[0.0009494000114500523, 0.0009163999930024147]",,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,4,STR,A fissue connects the two sides of a valley. ,Yuxi tries to use her athleticism to jump across the fissure.,Yuxi successfully jumps the gap. She is able to secure a rope to throw back across.,Yuxi barely grabs on to the edge. She is able to climb up and secure a rope but is injured in the process.,Yuxi,6,,,,,0,0,0,0,0,3,3,3,185.621188399964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.60486259998288,185.621188399964,185.621188399964,186.35466249997262,5,0.7309886999428272,None,186.3548983000219,186.39228849997744,192.40121369995177,192.40122420003172,192.4398011000594,192.4398011000594,198.7449017999461,198.7449017999461,198.60279459995218,198.7388646999607,198.7449017999461,198.7449017999461,199.35568949999288,5,0.607295099995099,None,199.3562813999597,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,199.4254466999555,204.33968480001204,None,,,"['1', '1']",204.33994430000894,204.35421609994955,204.35421609994955,204.35421609994955,209.35419099999126,209.35419099999126,209.35419099999126,209.3378747999668,"[4.336117400089279, 4.8631355001125485]","[0.0009595999727025628, 0.0009703999385237694]",,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
1010,WhiteFemale_OutGrp,Yuxi,Emma,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Yuxi tries to rely on her intelligence to decipher the language.,Yuxi is able to  decipher a set of instructions to a nearby cache. She is led to a cache of small gemstones.,Yuxi is unable to make sense of the language. She is left empty handed.,Yuxi,7,,,,,0,0,0,0,0,4,4,4,209.35419099999126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.3381556000095,209.35419099999126,209.35419099999126,210.35651700000744,5,0.9978125999914482,None,210.3572642999934,210.42274129996076,216.39590130001307,216.39591149997432,216.4366320000263,216.4366320000263,223.67650209995918,223.67650209995918,223.53506150003523,223.67132790002506,223.67650209995918,223.67650209995918,224.35599099996034,5,0.6754737999290228,None,224.35662249999586,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,224.41668410005514,227.75387789995875,None,,,"['1', '1']",227.75414580001961,227.7643675999716,227.7643675999716,227.7643675999716,,,,232.7546698000515,"[2.9818189999787137, 3.2831517999293283]","[0.0010023999493569136, 0.0007196000078693032]",,,,,,,,,,RBDCW002_Run2,RBDCW002_Run2,2024-03-27_10h04.08.149,AdvTask_fMRI_masculinePronouns,2023.2.2,59.86812248528754,2024-03-27 10h04.21.333683 -0400,
