ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,player_action_keys_punish.rt,player_action_keys_punish.duration,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,28.206456699999762,,0.001958999999715161,0.04625149999992573,0.04625149999992573,0.04625149999992573,0.04625149999992573,0.04625149999992573,0.04625149999992573,6.383836699999847,0,3.4220030000001316,1,3.984686899999815,1,4.253477100000055,0,5.003457199999957,1,[6.3546597999998085],[6.354664199999661],6.383936499999891,6.391212099999848,6.391212099999848,6.391212099999848,28.19014789999983,Ryan,1,[21.805323300000055],[21.805327700000362],28.19081449999976,28.206456699999762,28.206456699999762,44.20710529999997,5,15.986308199999712,0.0008476000002701767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,44.22312699999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.207810699999754,44.22312699999975,44.22312699999975,44.30677239999977,5,0.07925669999985985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,44.323281899999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.30722949999972,44.323281899999984,44.323281899999984,45.306702499999574,5,0.9787407999997413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,45.322941999999784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.30704229999992,45.322941999999784,45.322941999999784,46.3069430999999,5,0.978945400000157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.30736519999982,46.322846899999604,46.322846899999604,47.30736109999998,5,0.9803136999998969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
110,ChineseFemale_OutGrp,Jack,Haoyu,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Haoyu tries to shake the tree with all his might.,Haoyu's efforts make several of the fruit fall. He will be able to sell these back in the village.,Haoyu does not manage to shake any of the fruit loose. He hurts his shoulder in the process.,Haoyu,6,,,,,0,0,0,0,0,0,0,0,133.54196509999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.30739969999968,47.323206599999594,63.3263321999998,63.30738169999995,63.31541829999969,63.3263321999998,98.82379009999977,98.82380989999956,98.8665418999999,100.82295059999979,100.9906818999998,101.07619429999977,101.07619429999977,101.07619429999977,101.07619429999977,101.07619429999977,101.07619429999977,101.07619429999977,101.07619429999977,101.07619429999977,106.70193969999991,106.82506909999984,112.77146749999974,112.80679969999983,115.8221567999999,115.8222867999998,116.07612059999974,116.10162169999967,116.10162169999967,116.10162169999967,116.10162169999967,118.0050871999997,2,1.887118399999963,0.0007813000001988257,118.00539949999984,118.02228939999986,133.54196509999974,133.5055997999998,133.54001059999973,133.54196509999974,133.54196509999974,134.30673939999997,5,0.760790199999974,None,134.30740779999996,134.33333779999975,140.3242441999996,140.3242527999996,140.34975179999992,140.34975179999992,146.6220598,146.6220598,146.4748496999996,146.61102819999996,146.6220598,146.6220598,147.30688399999963,5,0.6807406000002629,None,147.30764089999957,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,147.34368669999958,151.64177689999997,None,"['1', '1']","[3.9229350000000522, 4.2628122000000985]","[0.0010423999997328792, 0.0010087999999086605]",151.6428404999997,151.66512299999977,151.66512299999977,151.66512299999977,156.65617479999992,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
110,ChineseFemale_OutGrp,Jack,Haoyu,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Jack relies on his intelligence to parse the details of the map.,Jack successfully deciphers the map. He finds a path that avoids nearby hazards.,Jack gets confused by the worn map. He leads the duo into a quicksand pit causing them to drop some valubles.,Jack,7,,,,,0,0,0,0,0,1,1,1,156.6728019999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.6566054,156.6728019999996,156.6728019999996,157.30624769999986,5,0.6309334000002309,None,157.3065916999999,157.33287989999963,163.32236059999968,163.3223721999998,163.33893179999995,163.33893179999995,170.63400539999975,170.63400539999975,170.48668389999966,170.62367849999964,170.63400539999975,170.63400539999975,171.30675459999975,5,0.6691811999999118,None,171.30719469999985,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,171.34628139999995,173.88235099999974,None,"['1', '1']","[2.0403193999995892, 2.488523499999701]","[0.0009530000002087036, 0.0009242999999514723]",173.88260939999964,173.89551219999976,173.89551219999976,173.89551219999976,178.8892578,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
110,ChineseFemale_OutGrp,Jack,Haoyu,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Haoyu relies on his wit to make sense of the riddle.,Haoyu solves the riddle. He is rewarded with a small silver trinket.,Haoyu is unable to make sense of the riddle. He is obligated to pay the merchant.,Haoyu,6,,,,,0,0,0,0,0,2,2,2,178.90598769999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.88968129999967,178.90598769999997,178.90598769999997,180.30577849999963,5,1.3967619999998533,None,180.3060174999996,180.32695339999964,186.32185309999977,186.32186349999984,186.34480609999991,186.34480609999991,192.65436979999959,192.65436979999959,192.5070351999998,192.64359479999985,192.65436979999959,192.65436979999959,193.3059343,5,0.6486135999998623,None,193.3062485999999,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,193.34206229999972,196.79919439999958,"['2', '2']",None,,,196.79953469999964,196.80986369999982,196.80986369999982,196.80986369999982,201.80580929999996,"[2.812542399999984, 3.4335618999998587]","[0.0009491999999227119, None]",,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
110,ChineseFemale_OutGrp,Jack,Haoyu,4,STR,A fissue connects the two sides of a valley. ,Jack tries to use his athleticism to jump across the fissure.,Jack successfully jumps the gap. He is able to secure a rope to throw back across.,Jack barely grabs on to the edge. He is able to climb up and secure a rope but is injured in the process.,Jack,6,,,,,0,0,0,0,0,3,3,3,201.8224720999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.8061845999996,201.8224720999997,201.8224720999997,202.3068191999996,5,0.4803618999999344,None,202.30733199999986,202.3351548999999,208.3272281999998,208.3272379,208.36354489999985,208.36354489999985,214.66757389999975,214.66757389999975,214.52577099999962,214.6612482999999,214.66757389999975,214.66757389999975,215.30612679999967,5,0.63555980000001,None,215.30655209999986,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,215.34758319999992,218.0289326999996,"['2', '2']",None,,,218.029184,218.0398127999997,218.0398127999997,218.0398127999997,223.03878889999987,"[2.174960199999987, 2.6559369999999944]","[0.0009663000000728061, 0.0009494999999333231]",,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
110,ChineseFemale_OutGrp,Jack,Haoyu,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Jack tries to rely on his intelligence to decipher the language.,Jack is able to  decipher a set of instructions to a nearby cache. He is led to a cache of small gemstones.,Jack is unable to make sense of the language. He is left empty handed.,Jack,7,,,,,0,0,0,0,0,4,4,4,223.05555749999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.03916569999956,223.05555749999985,223.05555749999985,223.3062057999996,5,0.24711530000013227,None,223.3066445999998,223.3401733999999,229.32867459999989,229.32868419999977,229.3424614999999,229.3424614999999,236.5907718999997,236.5907718999997,236.4485698999997,236.58416959999977,236.5907718999997,236.5907718999997,237.30578249999962,5,0.712208500000088,None,237.30615339999986,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,237.34515399999964,242.44479189999993,None,"['1', '1']","[3.8704759000002014, 5.072328000000198]","[0.000886399999671994, 0.0009170999996968021]",242.44505149999986,242.4567549999997,242.4567549999997,242.4567549999997,247.45511799999986,,,,,,,,,,,,,,RBDCW008_Run2,RBDCW008_Run2,2024-04-12_16h05.14.760,AdvTask_fMRI_masculinePronouns,2023.2.2,60.0259191920232,2024-04-12 16h05.24.198637 -0400,
