ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player2Reveal.stopped,player1Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,player_action_keys_punish.rt,player_action_keys_punish.duration,Encounter_intro.stopped,player_action_instructions.stopped,player_action_keys_punish.stopped,PlayerAction_text.stopped,RewardBox.stopped,PunishBox.stopped,player_action_keys_reward.stopped,rewardConfirmText.stopped,punishConfirmText.stopped,PunCountFeedback.stopped,RewCountFeedback.stopped,PunFeedback.stopped,RewFeedback.stopped,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,37.056589700005134,,0.0018792000046232715,0.044349700008751824,0.044349700008751824,0.044349700008751824,0.044349700008751824,0.044349700008751824,0.044349700008751824,3.3819791999994777,1,1.8859431000018958,1,2.1618706000008387,1,2.451892400000361,0,3.004524100004346,1,[3.353552500004298],[3.3535575999994762],3.3820794000057504,3.3898597000079462,3.3898597000079462,3.3898597000079462,37.040849100012565,Jane,1,[33.65786939999089],[33.65787509999063],37.04145270001027,37.056589700005134,37.056589700005134,49.44147590000648,5,12.382659700000659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,49.45874270000786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44247970001015,49.45874270000786,49.45874270000786,50.44191760000831,5,0.9806329999992158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,50.45750060000864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.442788200001814,50.45750060000864,50.45750060000864,51.44069980000495,5,0.9816016999975545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,51.45712170000479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.441215400001965,51.45712170000479,51.45712170000479,52.44042680000712,5,0.982063500006916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.44067260000156,52.45671969999967,52.45671969999967,53.440294700005325,5,0.9821067000011681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,1,STR,"A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",Emma lunges forward attempting to force her blade through the protective plate.,Emma’s sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,Emma’s sword grazes the exterior plate. She is shot by the crossbow and is injured.,Emma,6,,,,,0,0,0,0,0,0,0,0,190.51976229999855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.44032030001108,53.45689190000121,69.4613604000042,69.44048920000205,69.44685920000484,69.4613604000042,104.95672900001227,104.95674320000398,104.99982060000184,106.9409913999989,107.05376239999896,107.14720079999825,107.14720079999825,107.14720079999825,107.14720079999825,107.14720079999825,107.14720079999825,107.14720079999825,107.14720079999825,107.14720079999825,112.78402960000676,112.94451880000997,118.84203820000403,118.93933459999971,121.93911099999968,121.95579780000844,121.95593010001176,122.18424400000367,122.2110992000089,122.2110992000089,122.2110992000089,122.2110992000089,174.9725899000041,1,52.76068189999205,None,174.97312560000864,175.0035543999984,190.48888490001264,190.51773459999822,190.51976229999855,190.51976229999855,191.44042949999857,5,0.9191005000029691,None,191.44101940000837,191.5023077000078,197.4850662000099,197.4850762999995,197.5010603000119,197.5010603000119,203.76451010000892,203.76451010000892,203.62665720000223,203.76181530000758,203.76451010000892,203.76451010000892,204.43922790000215,5,0.674345399995218,None,204.43960520000837,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,204.51172970001062,208.34230170000228,None,"['1', '1']","[1.8420575999916764, 3.7810764000023482]","[None, None]",208.3434600000037,208.36860200000228,208.36860200000228,208.36860200000228,213.35494600000675,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,2,INT,"In the next room, the adventurers encounter a massive stone door with intricate runes. The inscription reads, "Solve the riddle to reveal what is behind." ",Yuxi relies on her wit to decipher the riddle. ,"Yuxi correctly deciphers the riddle, causing the stone door to open smoothly. She finds a small room filled with treasure.","Yuxi misinterprets the riddle, instead triggering a magical flash. She takes damage.",Yuxi,6,,,,,0,0,0,0,0,1,1,1,213.37258110000403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.35548370001197,213.37258110000403,213.37258110000403,213.43967800000974,5,0.06620159999874886,None,213.44002490000275,213.50063340000634,219.50121930000023,219.5012304999982,219.50943330000155,219.50943330000155,225.7829131000035,225.7829131000035,225.63583460000518,225.77229040001112,225.7829131000035,225.7829131000035,226.50310580000223,5,0.6569406999915373,0.01980040001217276,226.50330330000725,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,226.51924550000695,232.1725441000017,"['2', '2']",None,,,232.1728923000046,232.19003350001003,232.19003350001003,232.19003350001003,237.18909810000332,"[4.01047359999211, 5.607503799998085]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,3,INT,"The floor is covered in a thick layer of mist. A booming voice announces, "Use your wit to navigate the mist or the mist might bite."",Emma decides to use her intuition to find a way through the mist.,"Emma cleverly observes the patterns in the mist, using her intelligence to discern a safe path and reach the other side unharmed.","Emma's vision is blocked by the mist, causing her to trip,  triggering a hidden trap. She suffers an injury.",Emma,7,,,,,0,0,0,0,0,2,2,2,237.2055418000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.18942980001157,237.2055418000091,237.2055418000091,237.49728960001084,5,0.23465420000138693,0.019492899999022484,237.4974865000113,237.50676150000072,243.4986435000028,243.49865410001075,243.52837090000685,243.52837090000685,250.82017330000235,250.82017330000235,250.6736200000014,250.80931050000072,250.82017330000235,250.82017330000235,251.5009560000035,5,0.6199216000095475,0.019507399993017316,251.50115670000378,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,251.5175675000064,259.52068080000754,['2'],None,,,259.52094690001104,259.53550070000347,259.53550070000347,259.53550070000347,264.5045691000123,[5.164206100002048],[None],,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,4,STR,"A gigantic salamander emerges from the shadows, hungry for flesh.",Yuxi tries to climb on the salamander’s back. She wrestles it into a choke hold.,Yuxi chokes the salamander into unconsciousness. She is unharmed in the encounter.,"The salamander’s giant maw bites Yuxi’s arm. She takes damage, but the salamander cowers into its den.",Yuxi,7,,,,,0,0,0,0,0,3,3,3,264.5070754000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.50479350000387,264.5070754000044,264.5070754000044,265.5040794000088,5,0.9326186000107555,0.01994899999408517,265.50428320000356,265.51090829999885,271.5061241000076,271.5061349000025,271.52816640000674,271.52816640000674,278.8228955000086,278.8228955000086,278.67355180000595,278.80952439999965,278.8228955000086,278.8228955000086,279.5133343000052,5,0.6169754000002285,0.01978469999448862,279.5135345000017,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,279.53040150000015,287.52943760000926,None,['1'],[5.911299500003224],[None],287.52969609999855,287.5419891000056,287.5419891000056,287.5419891000056,292.5163853999984,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,5,INT,The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,Yuxi attempts to rely on her intellect to solve the puzzle of the magical symbols.,Yuxi correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,Yuxi repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from her pack to the tar-like substance.,Yuxi,8,,,,,0,0,0,0,0,4,4,4,292.5216669000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.51660000000265,292.5216669000074,292.5216669000074,293.5183664000069,5,0.9182330999901751,0.01981769999838434,293.5185657000111,293.5280843000073,299.51330120000057,299.51331100000243,299.5280885000102,299.5280885000102,307.8348416000081,307.8348416000081,307.69191870000213,307.8268825000123,307.8348416000081,307.8348416000081,308.5250337000034,5,0.6050016000081087,0.019870499992975965,308.5252373000112,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,308.5421226000035,316.5291232000018,None,['1'],[5.543755999999121],[None],316.52938279999944,316.54233110000496,316.54233110000496,316.54233110000496,321.5383112999989,,,299.5280885000102,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run1,RBDCW009_Run1,2024-04-15_10h56.28.793,AdvTask_fMRI_masculinePronouns,2023.2.2,60.11490362693846,2024-04-15 10h56.46.411711 -0400,
