ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,player_action_keys_reward.rt,player_action_keys_reward.duration,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,11.248440200000005,,0.0018022000001565175,0.04270420000011654,0.04270420000011654,0.04270420000011654,0.04270420000011654,0.04270420000011654,0.04270420000011654,6.437556000000086,1,2.4110334000001785,0,2.910823799999889,1,3.6765717000000677,1,3.9264367000000675,1,[6.409971499999983],[6.409975999999915],6.4376770000001216,6.448232400000052,6.448232400000052,6.448232400000052,11.231646400000045,Jessica,1,[4.792904200000066],[4.792910800000072],11.23219280000012,11.248440200000005,11.248440200000005,38.748048400000016,5,27.493800799999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,38.764720000000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.74852310000006,38.764720000000125,38.764720000000125,39.74867270000004,5,0.9776438999999755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,39.76491269999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.74919250000016,39.76491269999997,39.76491269999997,40.74808680000001,5,0.9772682000000259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,40.76458720000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74843469999996,40.76458720000005,40.76458720000005,41.748919500000056,5,0.9781015000000934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.74937339999997,41.76519690000009,41.76519690000009,42.74889350000012,5,0.9774499000000105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
1011,WhiteFemale_OutGrp_Swap,Emma,Yuxi,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Yuxi tries to shake the tree with all her might.,Yuxi's efforts make several of the fruit fall. She will be able to sell these back in the village.,Yuxi does not manage to shake any of the fruit loose. She hurts her shoulder in the process.,Yuxi,6,,,,,0,0,0,0,0,0,0,0,129.2861233000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.74892339999997,42.76528240000016,58.766260099999954,58.74906380000016,58.75667270000008,58.766260099999954,94.26515250000011,94.26517030000014,94.30808679999996,96.24914320000016,96.36173830000007,96.46319840000001,96.46319840000001,96.46319840000001,96.46319840000001,96.46319840000001,96.46319840000001,96.46319840000001,96.46319840000001,96.46319840000001,102.11030649999998,102.26340700000014,108.07215410000003,108.26370680000014,111.26775399999997,111.26775399999997,111.2679091,111.50582159999999,111.53149759999997,111.53149759999997,111.53149759999997,111.53149759999997,113.7306165,1,2.1978131999999277,0.0008769000000938831,113.73127350000004,113.75866840000003,129.24772110000004,129.28355009999996,129.2861233000001,129.2861233000001,129.74826660000008,5,0.4570666000001893,None,129.74884310000016,129.7742399000001,135.7642214,135.7642323,135.78050570000005,135.78050570000005,142.04011760000003,142.04011760000003,141.8975613,142.03392729999996,142.04011760000003,142.04011760000003,142.74779090000015,5,0.7025504000000637,None,142.7483291000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,142.7915663000001,144.93106310000007,"['2', '2']","[1.4396604999999454, 2.1144395999999688]","[0.0010260000001380831, 0.0009594000000561209]",None,144.93148080000014,144.94699089999995,144.94699089999995,144.94699089999995,149.9472948,149.9472948,149.9472948,149.93072310000002,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
1011,WhiteFemale_OutGrp_Swap,Emma,Yuxi,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Emma relies on her intelligence to parse the details of the map.,Emma successfully deciphers the map. She finds a path that avoids nearby hazards.,Emma gets confused by the worn map. She leads the duo into a quicksand pit causing them to drop some valubles.,Emma,7,,,,,0,0,0,0,0,1,1,1,149.9472948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.93099670000015,149.9472948,149.9472948,150.74838210000007,5,0.7949406000000181,None,150.74882060000004,150.7775686,156.77088230000004,156.77089580000006,156.7806763000001,156.7806763000001,164.0665765000001,164.0665765000001,163.9243117000001,164.0603129000001,164.0665765000001,164.0665765000001,164.7476134000001,5,0.6755570000000262,None,164.74796379999998,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,164.78152249999994,167.08263609999995,None,,,"['1', '1']",167.08389499999998,167.10574470000006,167.10574470000006,167.10574470000006,,,,172.09757439999998,"[2.025411100000156, 2.260523400000011]","[0.0009860000000116997, 0.0008989000000383385]",,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
1011,WhiteFemale_OutGrp_Swap,Emma,Yuxi,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Yuxi relies on her wit to make sense of the riddle.,Yuxi solves the riddle. She is rewarded with a small silver trinket.,Yuxi is unable to make sense of the riddle. She is obligated to pay the merchant.,Yuxi,6,,,,,0,0,0,0,0,2,2,2,172.1140226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.09788400000002,172.1140226,172.1140226,172.74764989999994,5,0.6291065000000344,None,172.74799480000001,172.77332300000012,178.76540599999998,178.76541799999995,178.79780619999997,178.79780619999997,185.0319849,185.0319849,184.89102509999998,185.0275798,185.0319849,185.0319849,185.79785360000005,5,0.7554448999999295,0.0009731000000101631,185.79826849999995,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,185.83405349999998,187.36497450000002,"['2', '2']","[1.2401002999999946, 1.503939599999967]","[0.0010022999999819149, 0.0009651000000303611]",None,187.36523110000007,187.38000910000005,187.38000910000005,187.38000910000005,192.38083210000013,192.38083210000013,192.38083210000013,192.36454750000007,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
1011,WhiteFemale_OutGrp_Swap,Emma,Yuxi,4,STR,A fissue connects the two sides of a valley. ,Emma tries to use her athleticism to jump across the fissure.,Emma successfully jumps the gap. She is able to secure a rope to throw back across.,Emma barely grabs on to the edge. She is able to climb up and secure a rope but is injured in the process.,Emma,6,,,,,0,0,0,0,0,3,3,3,192.38083210000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.36495979999995,192.38083210000013,192.38083210000013,192.74753529999998,5,0.36263239999993857,None,192.74792300000013,192.77198160000012,198.76648180000007,198.76649250000014,198.80802719999997,198.80802719999997,205.07347640000012,205.07347640000012,204.93123960000003,205.06763019999994,205.07347640000012,205.07347640000012,205.74816480000004,5,0.6699565000001257,None,205.74866980000002,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,205.78010340000014,208.71550380000008,None,,,"['1', '1']",208.71627190000004,208.73621279999998,208.73621279999998,208.73621279999998,,,,213.73071630000004,"[2.659825800000135, 2.892935800000032]","[0.0009275999998408224, 0.0009018000000651227]",,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
1011,WhiteFemale_OutGrp_Swap,Emma,Yuxi,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Emma tries to rely on her intelligence to decipher the language.,Emma is able to  decipher a set of instructions to a nearby cache. She is led to a cache of small gemstones.,Emma is unable to make sense of the language. She is left empty handed.,Emma,7,,,,,0,0,0,0,0,4,4,4,213.7470800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.7311032,213.7470800000001,213.7470800000001,214.74756700000012,5,0.9961207999999715,None,214.74791589999995,214.77568399999996,220.76399700000002,220.76401520000013,220.77973599999996,220.77973599999996,228.06727790000014,228.06727790000014,227.92578219999996,228.06077060000007,228.06727790000014,228.06727790000014,228.747431,5,0.6760004999998728,None,228.74778530000003,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,228.7836049,230.35674080000013,"['2', '2']","[1.2733431999999993, 1.5305207000001246]","[0.0011099999999260035, 0.000951099999838334]",None,230.35699780000004,230.36880280000014,230.36880280000014,230.36880280000014,,,,235.36369639999998,,,,,,,,,,,RBDCW004_Run2,RBDCW004_Run2,2024-04-01_11h07.21.326,AdvTask_fMRI_masculinePronouns,2023.2.2,60.05479399403016,2024-04-01 11h07.34.253200 -0400,
