ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_punish.rt,player_action_keys_punish.duration,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,Encounter_intro.stopped,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,11.299576400022488,,0.0019412000547163188,0.041176300030201674,0.041176300030201674,0.041176300030201674,0.041176300030201674,0.041176300030201674,0.041176300030201674,5.954952000000048,1,2.328330199990887,1,2.9005220999824814,1,3.189726199954748,0,5.081797400023788,1,[5.927714699995704],[5.927719300030731],5.955050400050823,5.96734060003655,5.96734060003655,5.96734060003655,11.283699400024489,Maya,1,[5.327763699984644],[5.327769300027285],11.284463200019673,11.299576400022488,11.299576400022488,24.91663770005107,5,13.614569899975322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,24.932888200040907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.91738960001385,24.932888200040907,24.932888200040907,25.916812500043306,5,0.9809056000085548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,25.93318770005135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.917369800037704,25.93318770005135,25.93318770005135,26.916806699999142,5,0.9808335999841802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,26.933175700018182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.917356300051324,26.933175700018182,26.933175700018182,27.916518600017298,5,0.9815533999935724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.916896800044924,27.9332067000214,27.9332067000214,28.91661210003076,5,0.9805233999504708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Yuxi tries to shake the tree with all her might.,Yuxi's efforts make several of the fruit fall. She will be able to sell these back in the village.,Yuxi does not manage to shake any of the fruit loose. She hurts her shoulder in the process.,Yuxi,6,,,,,0,0,0,0,0,0,0,0,115.96102200000314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.916639200004283,28.933156900049653,44.93272890005028,44.9160652999999,44.919828000012785,44.93272890005028,80.41730470000766,80.41733180003939,80.45225820003543,82.41741000005277,82.57599540002411,82.63017890002811,82.63017890002811,82.63017890002811,82.63017890002811,82.63017890002811,82.63017890002811,82.63017890002811,82.63017890002811,82.63017890002811,88.28177040000446,88.41507420002017,94.2360958000063,94.43138640001416,97.41672780003864,97.41707690001931,97.62760940002045,97.64495860005263,97.64495860005263,97.64495860005263,97.64495860005263,100.39856180001516,1,2.7488206999842077,0.0012108000228181481,100.39905620005447,100.42289520002669,115.91616350004915,115.94389070000034,115.96102200000314,115.96102200000314,116.9162495000055,5,0.9537084000185132,None,116.91676660004305,116.9488668999984,122.9393864000449,122.93939850002062,122.97732890001498,122.97732890001498,129.24469190003583,129.24469190003583,129.10578150005313,129.2419809999992,129.24469190003583,129.24469190003583,129.91602010000497,5,0.6694313999614678,None,129.9166208000388,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,129.96233530004974,137.2317761000013,['2'],[5.71542690001661],[0.0009125999640673399],"['1', '1', '1']","[6.597353200020734, 7.011467800009996, 7.222399800026324]","[0.0008817000198177993, 0.000860300031490624, 0.0010754999821074307]",137.23237350001,137.24842890002765,137.24842890002765,137.24842890002765,142.249014800007,142.249014800007,142.249014800007,142.23163660004502,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Emma relies on her intelligence to parse the details of the map.,Emma successfully deciphers the map. She finds a path that avoids nearby hazards.,Emma gets confused by the worn map. She leads the duo into a quicksand pit causing them to drop some valubles.,Emma,7,,,,,0,0,0,0,0,1,1,1,142.249014800007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2319787000306,142.249014800007,142.249014800007,142.91645930003142,5,0.6651692999876104,None,142.91696530004265,142.95706820004852,148.9437534000026,148.94376420002664,148.9495587000274,148.9495587000274,156.20177980000153,156.20177980000153,156.06037380005,156.19597490003798,156.20177980000153,156.20177980000153,156.9158764000167,5,0.7123184999800287,None,156.9162609000341,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,156.9538474000292,160.4324467999977,"['2', '2']","[2.940851300023496, 3.437915200018324]","[0.0010928999981842935, 0.0009516999707557261]",None,,,160.4326988000539,160.44822610000847,160.44822610000847,160.44822610000847,165.4487145000021,165.4487145000021,165.4487145000021,165.43231660005404,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Yuxi relies on her wit to make sense of the riddle.,Yuxi solves the riddle. She is rewarded with a small silver trinket.,Yuxi is unable to make sense of the riddle. She is obligated to pay the merchant.,Yuxi,6,,,,,0,0,0,0,0,2,2,2,165.4487145000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.43261780001922,165.4487145000021,165.4487145000021,165.91558860003715,5,0.46505729999626055,None,165.91592210001545,165.95152770000277,171.944373300008,171.94438450003508,171.9773410000489,171.9773410000489,178.2145284000435,178.2145284000435,178.07138290000148,178.2071685999981,178.2145284000435,178.2145284000435,178.91624240000965,5,0.6997720000217669,None,178.9166852000053,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,178.96155400003772,183.10681090003345,"['2', '2']","[3.5941722000134178, 4.097392400028184]","[0.0009429000201635063, 0.0008926999871619046]",None,,,183.10706180002308,183.1179109000368,183.1179109000368,183.1179109000368,,,,188.11520250001922,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,4,STR,A fissue connects the two sides of a valley. ,Emma tries to use her athleticism to jump across the fissure.,Emma successfully jumps the gap. She is able to secure a rope to throw back across.,Emma barely grabs on to the edge. She is able to climb up and secure a rope but is injured in the process.,Emma,6,,,,,0,0,0,0,0,3,3,3,188.13181430002442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.11547770001926,188.13181430002442,188.13181430002442,188.91558740002802,5,0.7820158000104129,None,188.91596890002256,188.94381560001057,194.93946100003086,194.93947110004956,194.9481730000116,194.9481730000116,201.2520266000065,201.2520266000065,201.11006780003663,201.24593319999985,201.2520266000065,201.2520266000065,201.91564080002718,5,0.6620969999930821,None,201.9159895000048,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,201.96199250000063,206.88431100000162,None,,,"['1', '1']","[4.391671000048518, 4.881749799998943]","[0.0009649999556131661, 0.0009045000188052654]",206.8845695000491,206.89801900001476,206.89801900001476,206.89801900001476,211.89867560000857,211.89867560000857,211.89867560000857,211.8812666000449,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Emma tries to rely on her intelligence to decipher the language.,Emma is able to  decipher a set of instructions to a nearby cache. She is led to a cache of small gemstones.,Emma is unable to make sense of the language. She is left empty handed.,Emma,7,,,,,0,0,0,0,0,4,4,4,211.89867560000857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.88168250001036,211.89867560000857,211.89867560000857,211.91549340001075,5,0.016132300021126866,None,211.91583280003397,211.9534792000195,217.9448745000409,217.9448851000052,217.9788121000165,217.9788121000165,225.22877680003876,225.22877680003876,225.0900898000109,225.22631220001495,225.22877680003876,225.22877680003876,225.91536070004804,5,0.6861685999901965,None,225.9157476000255,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,225.9610431000474,228.41038070002105,None,,,"['1', '1']","[1.9327720000292175, 2.4043260000180453]","[0.0008470999891869724, 0.001045399985741824]",228.41063200001372,228.42231809999794,228.42231809999794,228.42231809999794,,,,233.41539350000676,,,,,,,,,,RBDCW011_Run2,RBDCW011_Run2,2024-04-18_16h55.26.009,AdvTask_fMRI_masculinePronouns,2023.2.2,59.84157540518327,2024-04-18 16h55.33.915751 -0400,
